frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,158.37,133.93,333.09,27.78,183.48,174.22
1,151.11,145.98,327.0,21.66,178.08,173.43
2,132.67,149.04,329.44,4.16,179.09,172.64
3,138.84,153.18,331.56,3.4,182.04,173.62
4,137.89,153.28,330.8,1.98,182.83,170.85
5,92.79,157.44,317.37,0.8,182.34,174.08
6,101.78,162.03,317.82,2.06,179.6,171.78
7,115.52,163.05,322.86,2.02,176.84,168.7
8,125.06,163.85,327.65,5.19,173.57,165.14
9,103.91,160.43,324.14,3.6,175.71,163.4
10,118.95,162.01,324.42,4.49,175.41,164.15
11,123.42,159.65,325.85,4.42,178.23,165.54
12,124.91,155.82,327.72,3.6,177.94,165.41
13,124.08,159.91,326.9,6.2,177.02,164.46
14,136.84,162.22,328.62,7.04,177.07,165.06
15,130.74,160.02,327.61,7.14,177.74,165.2
16,131.84,157.49,333.64,6.32,176.63,165.89
17,128.34,155.72,332.96,5.87,176.84,165.8
18,142.31,156.22,333.61,5.78,178.42,165.42
19,143.03,153.43,333.92,5.27,178.5,166.76
20,159.65,164.26,341.92,8.2,184.21,155.72
21,161.54,157.29,344.23,5.0,175.12,165.77
22,159.5,169.82,336.26,17.04,176.32,136.52
23,161.88,169.84,328.07,15.43,164.71,144.32
24,165.43,162.64,329.25,12.08,169.39,154.11
25,161.48,161.64,326.31,11.27,164.88,149.59
26,158.26,167.32,324.87,13.85,172.87,156.1
27,176.43,167.6,333.98,16.12,172.21,162.65
28,158.66,169.31,334.83,19.56,170.1,163.77
29,155.48,167.63,334.63,18.62,167.1,165.1
30,153.17,165.58,341.61,23.04,180.06,161.4
31,154.38,166.2,339.2,23.02,178.1,164.1
32,155.71,164.81,338.11,21.53,185.41,164.51
33,151.92,160.06,336.53,23.73,183.44,164.34
34,147.32,163.9,334.6,25.49,170.8,166.56
35,138.26,153.98,333.56,26.28,172.12,164.19
36,135.56,158.86,330.92,24.37,165.38,165.36
37,123.35,150.75,326.69,23.64,161.03,168.58
38,110.57,136.92,324.42,21.8,161.57,168.82
39,106.84,137.09,320.84,22.78,161.75,169.07
40,99.82,127.38,318.21,19.5,162.81,169.81
41,101.44,127.64,317.11,19.74,164.49,168.49
42,102.81,125.37,317.23,18.1,164.36,168.9
43,91.84,117.42,317.74,13.97,163.81,171.95
44,89.51,112.1,317.4,11.6,165.25,171.95
45,82.9,112.02,315.1,14.7,163.35,172.98
46,79.41,109.34,313.61,13.68,163.0,172.33
47,73.3,114.04,311.34,19.07,158.26,170.14
48,66.53,110.22,309.52,19.2,158.49,171.32
49,65.57,103.23,308.83,19.24,154.84,169.62
50,66.47,101.82,307.66,14.17,162.02,158.77
51,65.39,121.62,305.83,11.63,164.14,155.74
52,68.02,127.84,303.38,11.98,160.45,157.91
53,68.75,134.47,302.66,14.53,181.82,151.8
54,68.0,135.05,303.06,4.74,173.86,156.62
55,63.75,132.5,301.78,6.85,165.22,157.24
56,63.21,129.52,301.71,6.85,165.64,158.45
57,65.73,128.3,303.22,10.12,157.95,157.44
58,79.19,133.61,309.65,23.13,156.73,163.45
59,82.22,134.49,310.0,23.91,154.15,164.97
60,82.87,140.11,311.73,27.78,153.28,165.68
61,92.76,129.6,315.61,19.97,154.97,170.34
62,106.67,121.8,318.09,12.85,154.42,170.62
63,106.19,124.84,315.85,11.58,155.97,168.72
64,112.57,122.68,315.98,12.41,156.45,168.69
65,123.28,124.98,316.26,11.97,158.56,170.4
66,125.42,134.17,313.5,13.4,160.1,169.68
67,125.35,140.57,313.29,14.13,160.89,169.84
68,130.56,154.63,313.6,17.2,161.42,174.59
69,132.41,156.45,314.05,18.84,160.65,175.3
70,134.98,162.18,314.67,18.77,162.7,176.74
71,135.13,158.02,314.97,15.73,152.77,177.51
72,142.8,159.94,318.41,14.46,167.76,175.2
73,145.15,155.8,319.48,13.33,169.95,173.47
74,148.29,152.97,319.98,11.68,169.45,172.27
75,152.4,156.7,323.38,11.68,176.57,172.27
76,150.83,156.94,322.12,11.5,174.33,169.44
77,154.89,156.29,327.71,12.0,179.46,166.43
78,153.72,160.31,326.46,12.78,176.67,168.03
79,157.0,158.51,329.8,13.52,174.02,166.28
80,156.94,157.83,331.3,13.23,177.76,167.41
81,147.82,161.29,328.56,11.43,171.45,166.32
82,137.44,164.2,323.94,11.48,170.23,160.91
83,128.0,158.24,328.93,8.95,168.48,152.89
84,139.69,161.34,329.44,9.0,161.53,151.45
85,144.21,166.55,347.19,10.11,166.0,154.86
86,145.62,168.82,341.59,9.45,163.11,154.19
87,146.77,165.26,347.8,7.99,167.57,154.95
88,138.68,162.86,335.9,7.78,166.32,153.26
89,141.87,173.75,322.99,16.65,164.43,151.02
90,145.27,176.16,313.33,15.5,168.5,154.05
91,151.39,153.86,313.5,10.58,161.02,155.18
92,140.53,162.65,332.81,7.82,160.94,163.64
93,142.4,169.9,322.24,9.79,163.45,167.06
94,143.73,169.67,324.68,9.82,156.63,166.39
95,142.05,162.92,317.52,8.6,154.04,158.75
96,153.14,166.09,324.22,9.51,155.52,156.37
97,164.03,160.51,327.49,11.37,151.24,138.59
98,160.77,164.79,333.59,13.3,154.54,143.87
99,175.6,165.28,328.47,12.67,157.06,144.86
100,168.33,163.37,321.22,11.93,155.31,141.68
101,151.05,160.44,311.04,12.91,156.65,144.33
102,147.49,161.06,321.59,11.53,154.56,143.61
103,149.24,161.74,326.61,9.88,158.96,148.17
104,150.26,164.79,327.16,11.4,160.47,148.05
105,162.0,166.95,328.15,11.72,162.29,152.2
106,167.47,161.26,329.42,11.72,166.91,159.44
107,163.34,162.3,329.96,10.41,168.0,150.64
108,48.65,163.41,328.98,10.81,166.72,152.71
109,88.6,165.04,330.12,11.11,155.72,142.96
110,78.48,164.1,327.82,11.24,158.59,154.96
111,105.09,164.2,327.42,12.22,163.61,158.02
112,132.03,161.47,328.13,12.14,166.4,158.78
113,113.1,152.63,324.23,12.73,166.99,159.38
