,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,194.15,203.72,351.67,14.03,180.6,167.48
1,197.17,208.82,350.13,14.13,181.48,169.11
2,197.61,210.73,349.29,14.21,181.92,169.67
3,199.72,212.69,348.64,13.97,181.99,170.21
4,199.88,216.05,347.37,13.82,182.02,171.43
5,202.59,219.04,345.87,13.2,184.51,174.34
6,205.71,223.53,343.83,12.97,187.21,175.85
7,211.75,226.71,343.87,13.24,187.17,175.73
8,217.28,231.08,344.16,13.42,186.84,175.44
9,225.67,237.81,343.66,13.66,186.97,175.03
10,232.23,252.65,343.62,13.77,186.98,174.46
11,237.39,247.93,343.63,13.98,186.64,173.93
12,241.72,263.36,343.8,14.34,186.03,173.14
13,251.25,263.14,344.12,14.78,186.16,172.95
14,256.65,258.9,344.56,15.34,186.02,172.52
15,259.77,216.5,344.35,16.02,185.8,171.7
16,257.24,173.87,343.65,15.74,185.15,171.13
17,257.96,210.88,343.74,16.7,183.65,168.84
18,258.21,213.36,344.09,15.71,183.45,168.86
19,260.88,236.49,344.66,14.76,183.65,168.75
20,263.5,243.66,342.7,11.95,183.87,169.04
21,260.81,242.32,340.56,12.1,183.93,169.43
22,260.14,238.25,340.39,12.39,184.46,169.51
23,259.89,261.89,341.07,11.28,184.2,169.47
24,260.22,266.65,341.61,11.62,184.59,169.47
25,260.75,269.03,342.59,12.28,184.88,169.56
26,261.43,258.8,343.84,12.9,185.09,169.55
27,261.03,235.36,344.04,14.71,185.1,169.54
28,260.37,253.83,344.02,14.68,185.07,169.52
29,258.23,239.8,344.07,14.58,185.06,169.62
30,251.22,240.0,344.42,15.38,185.06,169.71
31,249.94,241.92,345.0,15.7,184.98,169.92
32,253.57,259.71,346.47,15.89,184.74,170.1
33,253.08,234.16,347.08,15.67,184.63,170.22
34,250.77,232.33,346.93,15.26,184.91,170.79
35,247.35,234.83,346.35,14.76,185.66,171.41
36,244.27,240.14,346.12,14.47,185.92,172.48
37,240.68,233.29,345.73,14.09,186.45,173.48
38,236.6,231.1,345.62,14.11,186.7,173.74
39,231.03,229.38,345.36,14.05,186.79,173.77
40,225.2,226.96,346.02,13.83,186.91,174.4
41,220.03,223.53,345.93,13.64,187.18,174.73
42,215.37,221.46,346.12,13.44,186.7,174.97
43,212.15,219.46,346.41,13.08,186.26,175.22
44,209.64,216.59,346.67,12.74,185.5,174.83
45,205.98,214.81,346.98,12.76,184.34,174.18
46,202.57,213.46,347.2,13.18,183.49,172.56
47,200.64,212.25,347.2,13.3,182.59,171.84
48,197.73,209.95,347.15,13.65,181.54,169.83
49,194.42,208.53,347.52,13.95,181.02,168.44
50,191.25,206.75,348.95,13.77,180.44,167.05
51,190.04,204.29,349.92,13.65,180.71,165.95
52,189.16,201.3,350.98,13.66,179.6,163.49
53,186.83,199.9,351.34,13.44,179.54,162.73
54,185.98,197.82,352.11,13.31,179.27,162.01
55,185.26,196.31,352.02,13.32,179.33,161.41
56,183.75,194.77,351.73,13.24,178.89,161.33
57,182.08,193.96,351.92,13.3,178.7,160.96
58,183.54,192.87,353.05,13.24,178.65,160.6
59,183.98,191.27,353.16,13.17,178.04,161.03
60,184.41,190.34,353.35,13.02,177.59,161.06
61,184.25,189.72,353.35,13.09,176.76,161.26
62,183.82,189.2,353.43,13.35,176.63,162.06
63,183.4,189.83,353.14,13.85,176.92,162.37
64,182.98,190.83,352.95,14.32,176.59,162.85
65,182.37,190.94,352.47,14.76,175.41,162.88
66,182.18,190.91,352.3,14.84,173.49,162.98
67,181.59,191.24,352.01,15.01,172.48,162.83
