,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
121,165.35,169.29,348.57,349.28,176.22,181.52
122,166.88,169.29,349.38,349.28,176.23,181.5
123,166.88,169.29,349.02,349.28,177.09,181.52
124,166.15,169.29,349.02,349.28,177.09,181.52
125,166.15,168.55,349.02,349.28,177.09,181.52
126,166.15,168.55,349.02,349.28,177.09,181.52
127,166.15,168.55,349.02,349.28,177.09,181.52
128,166.15,168.55,349.38,349.64,176.23,180.6
129,166.15,167.82,349.38,349.64,176.23,180.6
130,166.02,169.11,349.24,350.2,176.22,180.04
131,167.55,169.82,349.7,350.55,176.58,180.4
