,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,180.75,186.64,334.95,19.05,184.62,169.27
1,181.19,185.56,332.52,15.81,186.93,174.01
2,180.15,187.53,333.61,14.98,185.52,173.62
3,180.83,188.82,332.18,16.14,185.21,173.01
4,181.81,191.26,332.9,18.1,185.47,172.65
5,183.35,189.07,331.79,18.17,185.39,172.09
6,183.52,186.45,331.35,18.6,184.34,171.64
7,183.58,185.52,332.31,17.7,183.57,171.89
8,182.41,184.16,332.28,17.31,183.43,171.61
9,182.84,184.36,331.67,17.42,183.2,171.63
10,182.45,184.79,331.53,17.46,183.06,172.02
11,182.13,184.22,331.75,16.97,183.13,172.21
12,184.6,185.17,331.03,17.3,183.11,172.71
13,184.65,185.39,331.13,17.3,183.12,172.83
14,184.91,185.88,331.34,17.48,183.33,172.91
15,184.55,186.72,331.58,17.66,183.26,172.77
16,184.32,187.3,331.69,17.81,183.17,172.68
17,184.89,189.13,331.54,18.13,183.23,172.41
18,184.68,189.38,331.41,18.42,183.2,171.65
19,184.68,189.39,331.28,18.39,183.09,171.7
20,184.71,189.38,331.21,18.39,183.02,171.43
21,184.48,189.5,331.19,18.32,182.55,171.09
22,184.34,189.73,331.34,18.23,182.25,170.94
23,184.12,190.0,331.5,18.21,182.32,171.03
24,184.36,189.9,331.39,17.89,181.93,170.74
25,184.06,189.8,331.56,17.57,181.68,170.73
26,183.88,189.72,331.65,17.43,181.73,170.89
27,183.78,189.68,331.88,17.41,182.59,171.41
28,184.08,189.67,331.9,17.46,183.04,171.92
29,184.85,189.6,331.54,17.34,182.7,171.98
30,184.75,189.46,331.34,17.24,182.79,171.93
31,184.39,189.43,331.31,17.15,182.65,171.81
32,183.96,189.52,331.89,17.15,182.1,171.82
33,183.75,189.66,332.16,17.1,182.05,171.94
34,183.85,189.52,332.77,17.29,181.39,171.76
35,183.91,189.52,332.79,17.29,181.27,171.76
36,183.93,189.52,332.94,17.28,181.17,171.69
37,184.28,188.71,333.01,17.44,181.24,172.01
38,184.52,187.9,333.09,17.31,181.31,172.25
39,186.55,187.24,333.2,17.71,181.54,172.15
40,187.57,186.69,333.38,17.76,181.63,172.11
41,187.8,186.5,333.59,17.82,181.56,172.15
42,188.37,185.85,333.67,17.79,181.45,171.59
43,188.88,185.72,333.7,17.92,181.44,171.45
44,190.0,185.85,333.8,17.96,181.76,171.69
45,190.66,185.74,333.83,17.9,182.01,171.78
46,190.86,185.86,333.85,17.89,182.31,172.03
47,191.88,185.36,333.71,18.08,182.1,172.18
48,192.63,185.37,333.76,18.17,181.98,172.4
49,192.08,184.23,334.39,18.1,181.89,172.37
50,191.85,183.37,334.84,18.26,181.77,172.01
51,192.14,182.75,335.1,18.46,181.8,171.82
52,194.97,181.51,334.93,18.43,181.44,171.51
53,195.83,180.91,334.95,18.37,181.29,171.29
54,195.74,180.44,334.06,18.22,180.3,170.37
55,195.84,180.19,333.42,18.13,179.67,169.64
56,195.97,180.16,333.16,18.09,180.06,170.07
57,199.97,181.64,330.95,18.85,179.69,170.03
58,201.0,181.52,329.95,19.26,178.94,169.93
59,203.12,185.24,326.23,18.61,174.52,161.44
60,204.34,187.57,325.54,18.38,175.48,161.69
61,205.55,188.4,325.6,18.32,176.44,163.55
62,209.18,193.24,323.88,17.5,179.12,155.64
63,210.7,194.15,323.75,16.98,179.38,155.93
64,215.01,199.61,323.05,16.41,180.75,158.73
65,217.48,201.68,322.6,15.78,180.79,161.46
66,215.87,201.74,323.46,15.81,181.24,163.1
67,214.42,207.26,324.47,15.31,181.04,162.04
68,217.81,210.19,325.28,15.23,181.11,162.7
69,229.24,215.43,327.67,15.29,184.33,168.92
70,228.78,215.84,328.27,15.47,185.17,170.71
71,228.92,215.34,328.5,15.65,184.64,171.07
72,236.24,221.84,327.62,16.78,184.7,171.0
73,238.86,223.63,327.15,17.44,184.82,170.62
74,254.01999999999998,231.98,325.94,17.88,184.34,171.22
75,258.49,234.0,325.16,17.93,184.04,171.68
