,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
121,195.79,182.04,349.8,19.18,180.8,167.99
122,196.41,180.9,350.62,18.88,180.79,168.14
123,196.88,180.6,351.15,19.02,181.2,168.12
124,194.61,180.18,352.68,19.13,182.57,169.8
125,193.98,180.1,354.21,19.34,182.81,170.33
126,188.74,180.53,356.12,20.1,182.22,170.3
127,190.25,180.76,356.79,20.3,181.59,170.49
128,190.37,181.02,356.87,20.45,181.7,170.44
129,183.36,180.42,2.12,20.86,181.48,170.37
130,183.44,180.33,2.6,21.08,181.47,169.84
131,184.2,180.93,3.77,22.88,181.64,170.27
132,184.13,180.53,5.17,23.33,181.54,168.6
133,182.3,180.36,2.61,23.61,180.86,167.47
134,184.4,180.55,358.11,25.0,181.01,168.53
135,181.41,182.07,359.24,24.86,180.97,168.82
136,187.71,182.83,357.96,25.64,180.14,168.36
137,190.2,182.69,357.29,25.97,180.46,167.65
138,190.2,183.23,357.13,26.26,180.13,167.28
139,184.75,183.59,358.31,26.9,180.64,167.62
140,187.11,183.21,357.89,27.17,180.34,168.19
141,188.3,183.41,358.41,27.8,179.98,168.32
142,187.43,183.1,358.19,27.79,179.66,168.25
