,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,63.21,79.93,354.26,9.54,192.19,175.45
1,55.77,69.6,353.91,10.98,191.11,174.88
2,66.55,74.85,351.4,12.06,190.22,175.79
3,61.79,81.08,349.81,16.08,191.03,175.9
4,54.83,59.98,350.01,17.06,190.85,176.52
5,45.6,52.89,349.84,19.93,190.53,177.21
6,37.41,52.83,349.15,21.59,191.03,177.63
7,32.65,62.18,348.55,35.38,191.11,178.52
8,31.63,67.01,348.14,40.22,191.0,178.81
9,33.24,72.11,347.81,36.69,190.84,179.29
10,39.41,66.29,347.8,25.69,191.0,179.29
11,42.48,61.98,347.55,15.69,191.08,179.6
12,48.37,56.7,347.39,13.97,190.87,179.33
13,52.38,56.8,347.03,12.77,190.27,179.25
14,53.26,60.14,350.84,11.01,189.96,179.16
15,69.95,67.39,353.9,10.84,189.88,179.15
16,71.24,75.64,355.12,10.19,190.11,179.04
17,103.59,93.43,14.78,9.27,190.04,178.75
18,124.83,105.21,0.64,8.46,189.73,178.64
19,89.99,116.87,349.34,8.15,189.76,178.21
20,97.13,111.63,346.46,8.0,189.52,177.67
21,123.73,114.91,345.8,9.03,189.27,177.15
22,141.19,125.31,346.26,11.07,188.95,175.99
23,141.48,132.1,346.12,12.13,188.4,175.5
24,143.27,139.15,345.69,13.02,187.69,175.2
25,141.93,143.83,345.53,13.69,186.2,175.08
26,144.07,146.01,345.81,13.4,184.94,174.96
27,145.48,147.47,346.11,13.12,184.32,173.85
28,147.42,148.75,346.62,12.76,182.73,173.59
29,147.99,151.23,346.79,12.12,182.27,172.23
30,151.13,153.44,347.96,11.54,182.04,172.41
31,154.05,155.21,349.24,10.96,182.81,173.75
32,155.63,156.94,349.21,9.41,184.83,175.97
33,158.63,159.74,349.73,8.63,186.64,176.82
34,160.58,161.33,350.05,8.41,187.34,177.06
35,162.61,164.63,349.98,8.23,188.99,177.96
36,164.67,167.36,349.86,8.54,191.56,178.81
37,164.97,171.79,349.93,8.43,192.42,178.26
38,165.75,171.34,349.95,8.17,192.78,178.32
39,166.47,170.49,350.08,7.8,192.98,178.47
40,168.02,170.84,350.2,7.84,193.15,178.38
41,167.91,170.19,349.51,7.3,192.7,178.51
42,167.86,170.85,349.24,7.24,192.61,177.79
43,167.66,171.08,349.17,7.36,192.54,177.65
44,168.58,171.7,349.27,7.75,192.47,177.83
45,168.36,171.9,349.08,7.95,192.51,177.64
