,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
121,182.99,184.71,1.99,20.04,181.72,177.47
122,182.94,184.96,2.68,20.84,181.94,176.57
123,180.28,185.78,3.6,21.46,183.03,177.67
124,180.61,186.66,4.35,22.5,182.06,177.46
125,181.74,186.36,4.46,23.5,181.32,177.18
126,183.25,188.39,4.73,24.59,181.14,176.1
127,184.6,188.91,6.71,25.85,180.59,176.34
128,185.97,189.79,6.84,26.46,180.58,175.59
129,187.92,190.08,7.75,27.51,180.03,174.95
130,187.55,190.91,9.62,29.06,179.97,172.64
131,188.47,190.97,9.51,29.11,180.06,172.82
132,187.5,191.19,9.73,29.22,179.88,172.86
133,184.53,192.4,6.75,29.27,179.67,172.38
