file,r_arm_mean,r_arm_variance,l_arm_mean,l_arm_variance,r_armpit_mean,r_armpit_variance,l_armpit_mean,l_armpit_variance,r_hip_mean,r_hip_variance,l_hip_mean,l_hip_variance,class
20211024_221837.mp4,145.93609090909092,1354.5827414595497,145.9138181818182,1545.01173941618,187.71945454545454,27981.119271259384,18.806363636363635,3414.6194380316924,180.69354545454544,7.306657956630523,184.72863636363635,6.381162343619688,0
20211024_221843.mp4,146.9988888888889,1328.7832883555557,146.3659523809524,1450.2771346857144,174.3643650793651,28053.11210799365,81.41230158730158,20203.373195460317,178.90722222222223,22.35488742222222,182.83380952380952,36.84561737142858,0
20211024_221849.mp4,132.3113924050633,1895.172804446608,133.60962025316456,2207.6230062642,180.90620253164556,30874.014690522556,52.87962025316456,15331.727647289843,181.5254430379747,4.54711486530347,185.64974683544304,6.705884550470621,0
20211024_221854.mp4,129.49533333333332,2273.7883198198197,129.06866666666667,2632.2231765765764,165.26733333333334,28254.974790090087,87.7656,21248.319238486485,182.6268,4.092208540540536,186.61053333333334,3.4070456576576555,0
20211024_221859.mp4,144.98780701754387,1630.7573889535786,141.0888596491228,1695.5792190420743,207.71605263157895,24918.432746227292,152.42149122807018,27591.317292446827,180.38140350877194,17.85216969414688,184.42929824561404,27.39833932619159,0
20211024_222019.mp4,129.06539215686274,1482.0405736070666,130.0756862745098,1789.8257495243643,91.81343137254902,23519.34734949524,271.55754901960785,23174.482236507476,177.8835294117647,21.81260722189866,176.78333333333333,13.698388778877893,0
20211024_222025.mp4,138.8471568627451,1733.487133420695,136.94039215686274,1695.3431028149873,9.32421568627451,80.54417314113765,230.53911764705882,28005.097717035525,180.37176470588236,11.43215329062319,177.4406862745098,43.18284407881964,0
20211024_222035.mp4,151.25075268817204,977.9463744273024,152.18064516129033,656.1211321879383,123.40913978494623,28234.520640556333,356.3115053763441,2.991052057035993,179.92591397849463,2.478654862085084,174.87494623655914,19.925679616643304,0
20211024_222041.mp4,148.58515463917524,1341.656723152921,150.0701030927835,728.3715989475945,111.82690721649485,25667.151529918385,356.05494845360823,18.819444007731946,179.88154639175258,1.511673625429555,173.80515463917527,19.819846069587626,0
20211024_222047.mp4,153.27711340206184,817.3642874140893,150.99958762886598,642.9896289948454,5.3916494845360825,1.55131183419244,295.9018556701031,18698.35241110395,179.50886597938145,2.0875247422680436,173.11639175257733,15.636610803264599,0
20211024_222219.mp4,223.29687022900762,2613.849977052261,225.9526717557252,3427.5027074221966,295.586106870229,16534.33369318849,345.6160305343511,967.4962641221375,184.51496183206106,25.637166729301224,179.91106870229007,14.609221926012918,0
20211024_222226.mp4,209.03575221238938,1647.0249425094817,214.5482300884956,1710.7301111251581,276.23238938053095,21590.259525489888,350.3311504424779,1114.4039817003793,184.86212389380532,22.325161520227564,180.299203539823,7.570821681415926,0
20211024_222233.mp4,233.36032258064517,1462.7557314165497,246.23720430107528,1024.0526877512857,281.0067741935484,21721.408967741936,134.82,29335.589534782608,183.06462365591398,12.143035998129974,177.00806451612902,0.35694186535764505,0
