,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,188.58,189.6,350.28,14.22,192.04,177.44
1,187.92,190.07,349.99,14.81,191.07,175.4
2,192.76,190.94,351.62,15.66,190.84,175.87
3,195.36,194.23,352.91,16.07,191.18,177.06
4,195.65,192.83,353.31,15.5,191.41,175.88
5,195.98,191.72,353.63,15.07,191.68,175.43
6,197.93,191.66,354.39,14.42,191.47,174.58
7,200.22,192.39,355.33,14.31,191.15,174.1
8,200.82,195.88,355.06,15.3,190.93,174.58
9,200.32,198.12,355.17,16.03,190.17,174.99
10,200.53,200.04,355.57,16.97,189.27,175.21
11,202.38,201.87,355.2,15.92,188.86,175.32
12,202.31,203.47,354.52,15.71,188.45,175.72
13,204.59,207.59,353.23,15.22,187.31,176.57
14,205.53,208.58,353.25,14.54,191.39,176.75
15,206.83,208.93,353.47,14.43,193.19,177.04
16,212.54,214.3,353.79,14.87,193.05,177.95
17,213.71,216.65,354.14,15.46,192.65,177.74
18,219.09,223.59,353.11,16.86,189.37,178.21
19,222.24,226.9,353.25,18.48,188.14,178.92
20,222.78,227.61,353.42,19.07,187.54,178.84
21,228.33,232.01,350.6,19.47,185.99,178.82
22,230.37,233.8,350.36,19.17,185.37,178.84
23,238.19,239.57,347.27,17.7,185.19,177.95
24,232.28,242.91,342.72,18.92,185.29,177.61
25,232.6,243.53,342.77,19.6,184.82,177.37
26,247.8,253.99,343.9,18.59,185.13,177.33
27,249.2,252.48,346.21,17.24,184.83,177.19
28,259.83,268.44,350.38,18.8,185.22,177.27
29,263.82,268.65,351.64,21.51,185.15,177.32
30,260.82,269.24,351.4,21.31,185.52,177.86
31,264.19,269.99,351.88,19.89,185.2,177.38
32,263.19,273.15,352.36,19.82,184.79,177.74
33,267.8,281.4,352.17,20.25,184.76,177.67
34,269.09,283.93,352.23,20.41,184.72,177.99
35,269.55,283.24,352.21,19.7,184.85,177.92
36,274.2,290.43,348.9,17.18,185.32,177.42
37,274.73,292.24,347.7,16.09,185.64,177.69
38,276.92,294.29,347.53,15.59,185.75,177.47
39,277.42,294.84,347.33,14.94,185.86,177.46
40,277.32,295.07,347.27,14.4,185.89,176.81
41,278.04,295.55,346.67,14.62,185.82,176.97
42,277.43,295.7,346.17,14.77,185.68,176.51
43,276.27,294.87,345.98,14.67,185.44,176.29
44,275.72,294.79,345.91,15.02,185.18,176.47
45,275.48,294.93,346.06,16.18,185.17,176.57
46,276.92,294.81,347.01,15.89,185.19,176.73
47,277.91,294.99,347.6,15.87,185.2,176.83
48,278.55,292.29,346.77,14.4,185.61,178.39
49,278.01,290.62,346.42,13.5,185.73,178.33
50,277.29,289.95,346.07,13.22,185.85,178.24
51,272.12,284.51,348.98,14.43,185.89,178.88
52,270.58,284.27,351.52,15.02,185.89,179.02
53,265.52,278.71,353.39,13.69,185.2,179.33
54,264.57,274.44,355.35,10.2,184.89,179.31
55,264.19,273.0,355.82,8.74,184.88,179.19
56,261.45,269.67,355.76,10.25,184.6,178.62
57,263.8,269.06,355.75,10.96,184.35,178.28
58,261.35,260.32,355.05,12.5,184.58,178.14
59,258.84,259.43,354.8,13.31,184.84,177.83
60,258.16,259.59,354.54,13.94,184.63,177.56
61,258.74,249.06,354.21,14.9,184.04,177.37
62,258.72,248.9,353.91,15.01,184.45,177.32
63,250.82,244.65,351.03,17.08,185.35,177.29
64,246.41,246.25,348.42,17.92,183.56,177.18
65,244.2,248.65,347.55,17.66,185.24,176.81
66,235.27,241.2,346.4,18.32,184.18,176.86
67,233.37,239.18,346.85,18.93,183.55,177.28
68,228.41,235.89,347.83,20.16,183.12,178.24
69,227.79,234.29,348.27,20.15,183.0,178.15
70,228.62,233.98,348.95,20.14,183.22,178.27
71,224.59,232.86,350.79,20.95,183.19,178.25
72,222.84,232.24,351.48,20.9,182.92,178.11
73,219.95,228.26,352.89,20.96,183.19,177.38
74,219.41,227.31,353.57,20.74,182.69,176.73
75,217.74,227.09,353.5,20.72,182.84,176.51
76,214.51,224.02,353.33,21.19,183.76,177.64
77,213.11,223.49,353.36,21.65,184.18,177.66
78,212.52,217.5,354.46,20.41,185.31,177.8
79,210.55,216.63,354.46,20.16,185.19,178.28
80,210.32,215.22,354.38,19.51,185.37,178.12
81,211.02,210.3,355.95,17.88,187.19,178.19
82,210.39,208.76,355.85,17.53,187.14,177.88
83,209.21,205.63,356.83,17.98,187.56,177.1
84,207.59,204.24,356.89,18.04,186.87,181.11
85,207.61,203.45,357.03,17.94,187.2,180.47
86,206.45,202.41,358.17,18.43,187.87,182.83
87,206.21,202.46,358.27,19.08,187.49,183.36
88,206.21,202.04,358.64,19.44,188.15,180.78
89,209.58,202.43,0.38,19.89,189.36,179.68
90,207.91,201.76,359.76,19.34,189.11,178.52
91,206.47,201.71,359.5,19.54,188.98,178.66
92,205.93,201.92,359.37,19.71,189.25,179.03
93,206.04,201.44,359.99,19.49,190.22,179.02
94,206.04,201.24,0.23,19.46,190.86,179.16
95,206.09,201.11,0.52,19.21,191.24,179.45
96,206.74,201.56,1.06,19.33,191.72,179.68
