,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,256.77,200.68,336.98,4.99,251.98,163.44
1,249.22,227.97,334.38,4.9,186.04,169.86
2,257.46,259.22,345.79,6.96,183.9,169.86
3,244.44,273.29,332.39,358.01,184.98,166.84
4,261.38,285.88,333.98,1.39,183.66,167.64
5,270.71,298.9,334.71,359.78,183.48,168.74
6,273.25,307.3,329.75,2.63,181.51,168.15
7,273.31,311.34,320.91,3.35,174.73,168.59
8,288.9,311.83,324.59,8.57,176.46,168.74
9,288.26,318.77,329.64,9.44,177.14,167.35
10,295.52,313.53,333.92,8.31,176.71,167.74
11,300.34,312.03,334.88,9.07,177.76,167.65
12,303.36,312.27,336.96,9.62,176.69,168.27
13,302.01,314.47,337.2,8.06,179.92,167.55
14,302.07,313.05,338.75,8.87,177.07,167.41
15,295.98,310.63,336.2,9.17,175.98,168.12
16,291.94,309.58,334.67,9.22,178.3,168.56
17,288.42,305.65,335.11,8.4,178.87,168.53
18,279.43,303.49,335.11,7.72,178.53,168.74
19,272.77,295.38,336.64,6.27,179.34,168.81
20,264.83,288.35,336.51,6.59,179.63,168.87
21,256.57,281.66,336.69,5.21,180.56,169.2
22,251.24,268.29,342.09,5.25,183.16,168.61
23,243.33,260.08,345.24,4.83,184.81,168.09
24,238.8,248.94,348.43,6.95,184.41,167.81
25,236.44,247.39,348.71,7.51,184.07,167.84
26,233.23,232.55,348.7,8.67,185.24,168.14
27,224.82,223.62,349.01,9.76,185.12,168.15
28,220.32,219.75,348.85,10.12,184.62,168.14
29,213.61,216.77,348.75,9.99,184.58,168.59
30,208.83,212.91,348.58,9.53,184.77,169.19
31,205.92,209.2,347.92,8.62,184.95,169.51
32,203.26,202.83,348.22,5.7,185.68,169.63
33,199.96,197.76,348.89,4.07,185.76,169.37
34,197.4,195.14,349.71,3.73,184.43,168.88
35,194.08,192.35,349.82,3.33,183.74,168.28
36,192.67,190.45,350.34,3.51,183.44,167.57
37,190.3,187.89,350.04,3.36,184.13,166.86
38,187.73,186.04,350.44,3.25,184.13,165.78
39,183.75,183.83,351.15,3.7,183.04,164.42
40,184.14,183.49,351.42,4.28,183.18,163.51
41,183.02,182.21,351.21,4.74,182.41,161.71
42,181.81,181.9,351.73,5.03,183.06,160.99
43,182.36,181.76,352.9,6.26,182.5,158.63
44,180.75,180.15,353.1,6.38,181.59,158.41
45,181.12,180.9,354.02,6.4,181.48,158.05
46,182.23,180.92,354.56,6.55,181.17,157.74
47,183.09,180.95,354.9,6.66,180.67,157.49
48,183.56,180.94,354.9,6.77,180.68,157.21
49,183.56,180.59,354.9,6.83,180.54,157.51
50,183.81,180.38,354.9,6.83,180.54,157.51
51,182.93,180.33,354.49,7.15,180.35,157.19
52,181.2,180.9,353.36,7.4,180.45,156.94
53,180.58,181.84,352.73,7.86,180.27,157.03
54,181.01,182.57,352.71,8.2,180.29,157.07
55,180.78,182.97,352.59,8.3,180.18,157.3
