,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
121,56.53,105.34,25.25,85.62,8.44,2.49
122,63.53,108.17,32.92,87.31,9.27,2.31
123,68.43,109.02,38.89,81.61,9.41,2.71
124,67.63,107.66,39.83,79.76,8.93,2.44
125,48.18,98.26,21.48,69.05,12.14,4.14
126,93.92,107.92,59.73,72.18,17.43,12.81
127,90.94,112.57,50.76,72.47,17.33,12.24
128,76.91,117.0,39.23,74.54,19.27,19.25
129,81.09,129.87,46.61,81.41,22.98,18.47
130,73.99,130.34,39.7,81.35,22.73,18.58
131,98.95,148.39,60.48,84.87,40.02,19.69
132,95.1,144.58,58.45,83.62,35.77,17.76
133,109.71,161.62,73.04,89.65,39.13,17.82
134,113.69,166.82,74.31,89.8,36.71,19.31
135,74.87,129.96,17.61,69.05,61.64,117.97
136,56.79,105.57,359.9,54.12,168.18,161.33
137,54.98,99.82,352.79,47.11,174.72,168.81
138,53.07,96.8,351.72,41.11,183.58,171.91
139,61.94,100.04,348.88,43.88,165.65,167.51
140,59.94,100.51,346.17,43.56,142.96,162.87
141,48.93,111.45,342.56,53.85,49.25,152.74
142,55.42,126.51,347.03,62.72,49.06,144.93
143,43.28,125.14,335.33,65.79,128.03,168.46
144,36.04,126.77,325.61,68.88,181.71,173.6
145,315.85,143.5,322.73,91.18,184.74,172.64
146,117.83,135.82,32.73,80.72,181.7,175.87
147,20.89,138.29,345.99,81.11,181.53,178.99
148,28.85,139.14,341.66,80.07,180.14,178.03
149,5.0,138.34,346.59,77.85,181.02,177.47
150,13.37,136.47,347.64,76.5,182.5,177.49
151,120.33,145.84,42.03,80.04,185.0,178.91
152,103.6,152.81,40.75,82.31,186.28,177.97
153,90.89,155.65,330.53,74.61,188.51,178.8
154,81.63,158.18,329.15,74.13,22.95,11.31
155,88.35,150.79,332.9,66.3,167.9,168.76
156,96.74,146.13,322.1,63.57,175.57,164.61
157,90.9,315.92,316.56,60.95,185.22,172.24
158,21.16,323.7,319.77,65.46,182.54,175.64
159,37.7,267.01,319.29,66.41,180.28,168.65
160,71.52,164.46,323.77,48.66,206.43,196.09
161,144.62,149.54,330.58,35.54,100.83,64.86
162,1.76,324.73,325.0,357.98,208.83,72.41
163,194.03,323.52,317.09,356.32,225.64,112.36
164,83.26,340.13,11.29,3.05,51.08,73.39
165,45.86,20.32,20.79,28.67,77.11,71.26
166,55.52,35.72,46.02,34.29,66.79,75.16
167,81.91,72.82,80.35,53.04,107.39,111.05
168,88.29,71.43,60.53,53.77,55.95,74.95
169,77.09,62.72,48.66,46.84,63.57,77.09
170,23.35,15.22,353.73,22.46,261.91,113.86
171,68.47,59.03,43.83,47.29,253.16,82.62
172,79.27,77.82,55.21,62.94,256.12,60.23
173,17.62,336.17,346.77,22.77,208.63,234.37
174,14.09,336.27,353.62,8.16,185.65,238.91
175,55.85,66.12,32.83,328.56,114.42,240.26
176,327.21,270.64,326.86,337.73,166.1,230.91
177,341.89,268.59,329.64,330.74,266.94,268.44
178,353.29,257.66,317.64,332.14,265.47,260.62
179,326.25,133.39,340.94,308.69,117.03,239.03
180,346.06,165.97,328.27,309.29,235.57,238.56
181,4.51,326.96,359.14,11.57,233.69,213.67
182,354.15,331.62,1.34,8.95,201.66,218.35
183,269.23,208.29,355.03,344.44,203.95,225.62
184,260.9,251.77,354.22,352.27,220.07,233.28
185,252.1,162.72,343.17,37.7,263.21,274.38
186,235.06,273.74,334.13,6.78,254.69,240.56
187,12.36,244.51,324.8,11.45,252.9,219.93
188,10.9,271.58,333.28,10.65,248.84,225.52
189,16.06,274.01,337.05,12.39,247.59,229.48
190,22.07,253.61,336.39,16.95,233.99,219.38
191,31.18,263.58,339.34,22.04,238.44,219.79
192,25.42,291.58,329.33,28.51,241.79,224.45
193,31.74,260.6,336.61,27.26,240.8,231.09
194,338.91,89.52,331.01,91.67,27.98,7.54
195,58.85,175.36,40.09,56.79,208.44,182.39
196,7.84,28.14,38.05,44.91,199.67,196.04
197,16.36,2.46,54.72,41.1,206.82,204.02
198,10.62,356.39,56.14,36.74,207.41,199.96
199,356.35,338.6,358.48,29.23,219.72,203.44
200,332.49,299.52,3.57,351.76,213.37,211.06
201,322.98,325.52,1.85,8.18,197.87,205.53
202,332.0,339.45,13.85,6.82,195.56,203.09
203,19.55,16.39,23.43,29.13,173.77,179.0
204,36.06,50.42,49.86,51.47,87.11,116.27
205,314.06,44.33,312.06,20.91,149.03,99.71
206,350.84,39.1,336.17,31.19,204.15,176.0
207,11.51,39.01,11.92,28.1,177.45,198.13
208,21.54,39.13,21.93,30.83,191.83,212.22
209,244.46,9.63,289.34,60.95,7.92,25.05
210,245.83,5.27,292.91,57.79,4.5,23.02
211,221.77,222.72,287.53,287.56,39.54,28.74
212,308.22,203.45,14.73,266.04,9.78,31.23
213,200.49,217.28,279.66,287.18,16.46,28.36
214,91.02,124.04,335.87,64.93,29.73,37.85
