,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,134.76,137.84,345.72,13.16,187.3,174.8
1,108.38,119.76,345.19,13.31,188.32,175.2
2,61.37,109.7,343.29,11.34,188.64,174.22
3,72.26,100.08,345.71,10.3,187.84,173.94
4,98.35,90.04,5.9,9.69,188.39,175.21
5,78.14,85.47,2.3,9.41,188.8,176.87
6,74.26,75.03,1.03,9.53,188.46,178.05
7,72.22,72.15,354.56,10.32,188.89,178.39
8,68.58,70.26,348.66,10.29,189.34,178.51
9,62.52,65.66,345.95,12.87,189.63,178.31
10,44.84,50.97,346.59,15.64,189.65,178.88
11,36.55,42.72,346.62,15.94,189.68,178.6
12,40.56,42.15,346.58,17.61,189.74,178.8
13,45.36,42.74,345.99,18.06,189.48,178.66
14,44.67,46.76,346.3,18.26,189.54,178.87
15,46.32,50.36,346.41,15.75,189.76,179.15
16,47.96,53.69,346.41,14.84,189.54,179.66
17,52.78,58.18,345.94,13.58,188.88,179.87
18,56.73,63.14,349.33,12.55,188.61,179.76
19,67.7,71.55,352.44,12.03,188.47,180.24
20,103.47,81.35,15.83,8.94,188.5,179.54
21,97.77,88.81,11.25,9.22,188.81,178.54
22,108.08,99.76,348.73,8.45,188.77,178.14
23,103.02,108.89,345.45,8.1,187.5,177.12
24,92.04,111.74,344.82,8.68,187.29,177.11
25,83.6,115.27,344.9,9.4,187.64,176.8
26,116.71,122.28,345.12,10.64,187.42,176.52
27,137.64,129.66,345.16,11.73,187.11,176.21
28,142.03,134.87,344.83,12.6,186.72,176.11
29,140.8,140.36,344.56,12.98,186.74,175.9
30,142.11,143.4,345.2,13.06,185.24,175.89
31,143.57,145.68,345.5,13.25,185.06,175.42
32,145.33,148.05,345.53,13.15,184.64,175.1
33,146.25,150.66,345.99,13.33,183.64,174.61
34,147.1,153.06,346.31,13.22,183.63,174.1
35,150.33,154.47,347.64,12.88,183.72,174.07
36,151.92,155.81,348.29,12.73,183.03,174.07
37,153.16,156.88,348.77,12.56,182.95,174.49
38,155.84,159.48,349.61,12.01,184.32,175.63
39,157.38,161.46,349.53,11.47,185.72,176.97
40,158.84,164.56,349.74,10.89,186.43,177.53
41,159.71,165.01,349.63,10.64,187.66,177.8
42,160.4,165.52,349.36,10.56,189.24,178.05
43,160.85,166.51,349.24,10.54,190.28,178.04
44,161.9,167.16,349.3,10.47,191.31,178.11
45,162.69,167.83,349.34,10.26,192.13,178.01
46,162.73,169.43,349.15,10.17,193.06,178.05
47,163.16,170.23,349.2,10.33,193.34,177.56
48,164.11,171.17,349.42,10.35,193.48,178.31
49,164.93,171.64,349.5,10.54,193.21,178.3
