frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,146.79,152.55,358.81,357.49,182.54,181.52
1,145.99,154.19,359.56,358.61,178.86,177.77
2,146.09,155.7,0.27,359.48,179.61,177.03
3,146.53,153.22,0.48,358.46,179.49,177.87
4,145.46,155.14,0.9,358.73,178.58,177.95
5,144.81,155.52,0.87,359.32,178.33,178.11
6,144.72,155.12,1.36,359.55,176.36,176.61
7,143.66,154.47,1.02,359.55,176.05,176.61
8,142.68,153.25,0.49,358.97,176.03,176.51
9,141.7,152.27,0.56,358.83,176.68,176.01
10,141.39,151.04,0.21,358.66,175.85,175.88
11,142.34,152.84,0.34,359.39,170.57,176.52
12,142.34,151.03,0.34,359.4,166.5,176.55
13,141.11,149.84,359.78,359.19,169.72,177.37
14,141.11,149.08,359.78,358.6,167.77,177.91
15,140.5,149.07,359.56,358.97,164.89,177.92
16,140.5,149.83,359.56,359.13,167.48,178.43
17,140.2,149.83,359.55,358.91,166.31,178.65
18,140.52,150.84,359.69,359.09,167.57,178.86
19,140.23,149.83,359.69,358.7,168.59,178.86
20,139.9,149.83,359.66,358.48,172.18,179.38
21,139.9,149.58,359.46,358.26,175.41,179.59
22,139.88,150.22,359.45,358.27,176.6,179.9
23,139.88,150.09,359.47,357.9,177.18,180.2
24,139.62,149.61,359.47,357.9,177.51,180.52
25,140.22,149.24,359.5,357.96,177.48,179.48
26,140.22,149.25,359.5,357.97,178.26,179.48
27,139.93,149.49,359.5,357.97,178.01,179.48
28,139.37,149.26,359.5,358.18,177.71,178.98
29,138.22,148.24,359.5,358.0,177.1,178.49
30,137.35,144.19,359.52,358.39,177.05,178.11
31,134.15,141.27,359.52,358.39,177.05,178.07
32,129.65,139.07,359.53,358.6,176.74,177.58
33,124.81,138.12,359.53,358.59,150.55,177.24
34,119.58,134.67,359.32,357.98,169.91,177.72
35,114.25,130.92,359.66,357.98,179.02,178.34
36,109.68,128.16,1.23,358.58,180.11,177.83
37,104.24,104.67,2.13,358.39,179.87,179.28
38,97.28,81.84,2.27,358.63,180.05,179.77
39,88.89,73.78,3.07,0.34,181.12,180.34
40,84.34,77.03,3.46,1.24,181.12,180.87
41,76.95,72.38,4.53,2.23,181.17,181.83
42,71.72,64.25,6.97,4.18,181.38,182.5
43,66.76,60.36,9.29,7.05,181.41,182.49
44,64.55,55.07,11.21,7.2,180.98,180.95
45,61.11,51.79,11.91,7.35,180.53,180.42
46,58.06,47.69,13.41,8.23,180.4,178.77
47,55.42,46.04,14.46,7.26,179.78,178.75
48,53.32,43.33,15.74,9.03,179.37,176.03
49,50.89,41.4,15.61,8.64,179.22,174.92
50,49.53,39.78,15.47,8.27,178.8,175.24
51,48.2,40.58,15.23,8.23,178.36,175.82
52,48.64,40.2,15.76,7.67,178.37,176.69
53,49.77,41.14,15.08,7.94,178.35,174.89
54,51.83,38.97,14.76,8.29,179.02,175.4
55,55.34,43.39,15.23,9.13,178.69,176.57
56,60.56,48.97,14.89,8.82,178.25,177.27
57,67.5,55.83,13.77,9.25,178.25,177.33
58,75.66,62.52,11.67,5.95,178.73,178.95
59,83.91,73.2,10.34,3.66,179.51,179.42
60,92.19,92.57,9.0,2.2,180.03,181.01
61,100.15,104.84,7.75,0.65,181.02,181.68
62,106.22,115.05,6.94,0.14,180.74,181.52
63,111.95,126.64,6.69,359.65,181.23,181.34
64,119.26,132.42,5.82,359.67,181.41,181.27
65,125.18,132.2,5.15,359.88,181.4,181.03
66,130.18,138.34,4.25,359.82,181.33,179.47
67,137.02,140.87,4.21,0.25,181.32,178.43
68,141.45,145.15,3.66,359.84,180.82,178.38
69,147.05,150.73,3.77,359.33,180.32,178.11
70,151.54,153.08,3.86,358.97,179.89,178.08
71,155.51,156.43,3.77,357.72,179.67,177.85
72,159.98,157.68,3.59,357.04,179.18,177.02
73,163.75,160.36,3.19,356.9,178.94,175.73
74,166.39,160.65,2.72,356.57,179.02,174.97
75,168.52,161.6,2.61,356.44,179.38,174.34
76,168.97,160.67,2.26,355.75,179.67,173.13
77,168.86,160.98,1.79,355.6,179.18,170.91
78,168.5,161.47,1.43,355.97,179.18,170.17
79,168.46,161.18,1.3,355.57,178.68,170.17
80,167.98,161.06,1.09,355.36,178.89,168.03
81,168.17,161.54,1.34,355.15,179.3,167.49
82,167.77,162.17,1.33,355.33,179.01,168.63
83,168.11,162.05,1.46,355.33,179.22,169.18
84,167.33,161.67,1.04,355.09,179.93,169.47
85,167.58,162.13,1.18,355.22,180.15,169.76
86,166.47,161.46,1.05,355.39,179.35,167.65
87,166.81,162.56,1.18,355.67,179.56,167.08
88,167.17,163.43,1.11,355.99,180.02,168.03
89,167.01,163.45,1.24,356.12,180.22,169.65
90,167.38,163.88,1.38,356.45,180.15,171.21
91,167.73,163.87,1.3,356.43,180.59,172.79
92,166.84,163.93,1.3,356.81,180.59,173.36
93,166.45,164.68,1.3,357.35,180.59,174.25
94,166.45,164.68,1.3,357.36,180.59,175.6
95,165.9,164.62,1.43,357.52,180.8,176.63
96,165.36,164.62,1.42,357.74,180.79,176.82
97,165.22,164.99,1.42,357.9,180.79,177.1
98,164.81,164.55,1.4,358.11,180.76,177.17
99,164.43,164.55,1.4,358.11,180.76,177.21
100,164.05,164.42,1.4,358.32,180.78,176.71
101,164.77,164.42,1.74,358.75,180.49,175.64
