frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,141.47,134.5,343.73,2.31,184.36,172.85
1,129.42,126.09,341.93,5.85,189.1,173.68
2,124.41,116.41,344.05,5.35,190.74,176.37
3,116.28,113.49,344.73,5.95,190.97,176.36
4,109.62,107.7,346.21,5.3,189.98,175.96
5,99.81,105.72,345.17,4.75,189.26,176.92
6,98.57,102.81,344.96,5.04,188.35,177.63
7,97.4,105.9,344.98,3.89,188.35,177.05
8,99.59,94.05,344.66,4.63,188.31,177.77
9,85.78,85.93,349.85,4.61,188.32,177.63
10,74.35,81.8,349.83,5.1,188.15,177.67
11,70.25,79.04,348.37,5.75,188.14,176.87
12,58.38,77.87,347.95,6.66,188.8,176.97
13,55.1,79.4,347.6,8.44,189.4,176.91
14,62.86,79.39,347.34,9.61,189.74,176.88
15,64.92,80.63,347.1,11.14,190.54,177.51
16,66.18,81.16,346.57,10.94,191.16,177.88
17,60.95,82.35,346.9,10.71,191.13,178.05
18,61.93,82.66,346.91,9.95,190.89,177.95
19,79.74,82.18,346.43,8.88,190.36,177.37
20,70.58,80.52,349.07,6.97,190.15,177.15
21,78.32,79.62,350.06,5.4,189.91,177.03
22,83.02,85.87,349.67,4.61,189.93,177.72
23,88.66,94.19,349.26,4.13,189.61,178.68
24,94.55,147.39,348.98,3.21,189.85,178.64
25,91.11,132.13,348.63,3.62,190.0,179.15
26,95.76,121.92,348.81,3.46,189.88,179.3
27,95.33,112.72,349.56,3.81,190.04,179.33
28,102.59,111.75,349.33,3.7,190.41,179.39
29,101.32,116.02,349.07,3.94,190.67,179.08
30,113.14,119.68,348.74,4.59,191.29,178.61
31,129.93,124.87,348.62,5.6,191.47,178.2
32,134.38,129.08,347.66,6.05,191.46,177.97
33,136.98,132.72,346.66,6.97,190.61,176.46
34,138.51,139.37,346.39,7.71,189.49,175.11
35,139.29,142.52,346.23,8.11,188.73,174.22
36,140.56,145.21,346.27,8.15,188.44,173.96
37,143.21,147.84,346.38,8.48,188.39,173.56
38,144.9,153.8,346.61,7.74,187.53,174.9
39,148.11,156.43,347.35,7.21,186.94,175.73
40,149.55,160.17,347.75,6.58,187.01,176.21
41,152.32,161.76,348.3,5.86,187.44,177.07
42,155.06,161.18,348.72,5.53,188.3,176.8
43,157.92,161.7,349.67,5.43,188.33,176.76
44,159.33,162.14,349.78,5.15,188.98,176.73
45,161.09,162.9,350.11,4.96,189.14,176.61
46,161.82,162.23,349.89,4.41,188.75,176.44
47,162.33,162.9,349.65,4.0,189.12,176.28
48,162.93,163.01,349.57,3.83,189.36,176.28
49,163.37,163.82,349.58,3.73,189.52,176.01
50,164.04,164.02,349.69,3.34,189.29,175.83
51,165.09,163.65,349.78,3.07,189.0,175.63
52,165.84,162.87,349.86,2.62,188.77,168.29
53,166.15,161.45,350.03,1.91,188.61,169.27
54,166.24,160.47,350.26,1.29,188.23,171.22
55,166.06,160.45,350.28,0.94,187.76,172.6
56,166.56,160.67,350.42,0.94,187.92,172.76
57,167.39,160.52,350.53,0.83,188.09,173.73
58,167.56,160.79,350.62,0.83,188.01,174.79
59,168.05,161.19,350.59,1.02,188.18,175.67
60,168.09,161.19,350.51,1.03,187.94,175.84
61,168.07,161.01,350.58,0.94,187.71,176.47
62,168.06,160.85,350.64,0.94,187.81,176.83
63,168.07,160.67,350.48,0.85,187.82,176.93
64,168.2,161.18,350.3,1.0,187.69,176.92
65,168.18,161.2,350.29,1.01,187.54,176.94
