frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,162.02,152.23,350.78,359.23,181.78,185.76
1,162.32,153.82,351.15,359.6,181.48,185.76
2,163.42,155.05,351.49,359.61,181.48,185.75
3,163.67,155.17,351.5,359.46,181.47,185.53
4,162.9,155.16,351.29,359.46,180.75,185.52
5,164.1,156.02,351.37,359.73,180.04,184.43
6,164.87,156.48,350.4,359.11,179.41,183.55
7,166.36,156.27,349.82,358.63,177.96,182.88
8,167.29,154.9,349.55,357.46,177.13,181.74
9,166.7,153.37,348.82,356.44,176.09,180.86
10,166.91,153.0,347.98,356.33,174.08,178.08
11,167.87,151.53,347.42,355.68,173.25,176.69
12,166.17,152.67,346.32,355.69,171.85,175.83
13,167.79,151.92,345.64,353.85,171.03,175.49
14,167.89,153.83,345.47,353.04,170.85,174.6
15,167.83,152.92,345.71,353.02,170.32,172.82
16,171.37,159.76,347.8,352.32,170.02,171.68
17,175.42,171.02,349.85,352.11,170.47,171.56
18,176.42,167.33,350.48,350.13,171.66,171.75
19,177.21,170.64,350.57,350.84,172.89,172.46
20,176.52,177.45,351.92,354.53,172.99,172.91
21,177.38,175.56,354.6,355.62,172.07,172.85
22,178.48,169.9,358.16,358.57,171.11,172.41
23,175.54,166.47,3.07,3.52,169.93,172.74
24,180.09,172.4,8.31,5.28,171.03,173.08
25,179.24,175.91,11.73,5.85,174.72,175.8
26,176.85,166.25,15.38,8.87,177.06,177.88
27,167.88,160.9,16.16,9.19,179.5,181.27
28,164.64,158.3,19.36,8.74,180.84,184.15
29,162.35,159.46,22.37,10.71,182.16,186.41
30,156.9,159.35,24.53,9.4,183.69,189.51
31,153.99,157.31,27.38,7.28,184.23,189.98
32,147.44,154.06,29.74,4.56,185.07,190.84
33,139.18,146.64,36.67,13.37,185.5,190.87
34,133.77,127.25,38.0,18.69,186.07,191.59
35,124.08,116.56,38.39,36.83,187.38,191.63
36,116.52,117.17,40.21,38.85,186.93,191.91
37,110.41,110.2,41.88,35.63,186.37,191.18
38,101.78,89.28,44.09,35.41,185.55,190.55
39,96.82,77.94,46.41,34.75,184.52,187.71
40,81.46,70.24,50.09,41.24,182.53,185.96
41,69.61,68.13,56.35,44.41,181.05,185.54
42,64.28,62.17,58.26,51.43,179.76,183.72
43,51.03,53.83,59.75,51.53,178.89,182.66
44,47.53,44.26,60.66,54.25,178.9,181.12
45,45.4,39.29,58.87,53.83,178.39,180.59
46,43.34,34.91,57.81,53.73,178.38,180.46
47,43.87,35.6,58.02,52.09,178.38,181.2
48,45.07,35.91,57.16,50.4,178.38,181.95
49,45.21,35.02,55.69,48.16,178.38,182.04
50,45.32,37.94,54.54,47.43,178.38,182.47
51,51.14,44.48,53.64,47.87,178.89,184.22
52,58.52,52.57,53.35,46.6,179.32,184.66
53,65.85,60.99,53.43,45.63,179.62,185.33
54,72.92,68.22,53.22,42.72,180.05,186.01
55,83.27,76.43,51.49,39.76,181.78,186.77
56,93.55,82.89,47.58,34.75,182.52,187.15
57,103.29,93.75,47.39,32.97,183.38,188.15
58,112.31,111.52,48.76,39.52,184.03,190.76
59,121.96,139.36,47.58,29.7,184.91,191.37
60,129.7,135.0,46.64,35.57,185.51,192.01
61,135.73,150.41,45.76,20.31,185.69,191.56
62,141.66,161.34,43.42,11.32,185.29,191.34
63,147.24,163.68,39.33,8.47,184.94,191.37
64,148.06,158.68,34.86,8.69,184.92,191.53
65,148.3,152.45,30.19,8.35,184.62,191.02
66,150.91,159.5,26.73,9.13,183.89,191.07
67,152.01,162.34,22.58,10.01,183.69,190.84
68,157.93,157.36,19.91,8.08,183.59,184.85
69,162.16,161.98,16.62,7.48,182.92,184.25
70,165.78,162.22,12.88,5.43,183.6,183.03
71,169.16,168.06,11.7,4.93,182.73,181.94
72,172.69,169.35,8.38,3.9,182.35,180.8
73,173.68,168.83,5.45,3.68,181.43,180.27
74,174.16,170.7,1.4,3.53,181.53,182.8
75,174.63,174.57,356.2,2.37,183.77,184.28
76,175.24,177.07,354.29,359.93,182.99,184.29
77,175.57,174.44,352.52,357.56,182.78,186.28
78,177.55,177.63,351.34,357.06,182.88,186.06
79,176.29,171.95,349.22,355.18,183.96,188.57
80,177.62,169.0,348.4,354.32,184.07,188.23
81,177.9,166.5,347.75,353.9,184.4,188.61
82,174.61,162.61,346.19,354.14,184.17,187.67
83,172.47,159.97,345.08,354.32,183.31,186.72
84,171.99,156.95,345.0,354.53,182.98,186.51
85,170.79,155.78,345.01,355.12,181.92,185.53
86,169.47,154.83,345.13,355.29,181.7,186.05
87,169.35,154.88,345.59,356.02,181.59,185.64
88,168.33,154.77,345.76,356.61,180.53,185.42
89,167.94,153.59,345.96,357.14,180.32,185.67
90,166.62,154.25,346.41,357.52,180.53,185.6
91,163.52,153.58,346.7,357.54,180.0,185.63
92,162.14,153.76,347.69,357.51,180.0,186.36
93,162.12,154.63,349.82,357.68,180.21,186.58
94,160.79,154.43,350.89,357.69,180.21,186.17
95,160.18,156.54,352.58,359.03,179.9,184.9
96,159.96,158.43,353.97,359.41,179.91,184.54
97,161.36,160.93,354.99,359.94,179.62,184.4
98,160.73,164.19,355.48,0.61,179.84,184.49
99,161.18,164.19,356.14,0.6,179.55,184.45
100,161.52,165.04,356.26,0.74,179.78,184.67
101,161.43,166.17,356.06,0.88,179.99,184.56
102,161.34,167.37,356.07,1.15,179.7,185.02
103,161.34,167.51,355.85,0.93,180.21,185.22
104,161.68,166.66,355.97,0.57,180.43,185.54
105,161.68,166.66,355.97,0.57,180.72,185.28
106,162.36,166.64,356.43,0.55,181.24,185.29
107,162.26,166.64,356.44,0.55,181.24,185.29
108,162.66,166.64,356.46,0.55,181.24,185.29
109,162.87,167.13,356.45,0.55,181.53,185.29
110,163.46,167.36,356.24,0.92,182.04,185.29
111,164.42,166.52,356.03,0.58,182.54,185.64
112,164.81,165.74,355.82,1.01,183.05,184.81
113,165.65,164.06,355.6,0.43,183.56,185.37
