frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,183.09,186.79,352.94,351.86,192.3,185.73
1,180.99,187.04,350.81,352.71,188.49,181.86
2,182.26,188.83,352.24,353.19,189.62,180.33
3,183.43,185.93,353.42,351.51,186.86,179.55
4,182.62,185.93,353.58,351.3,187.13,181.07
5,179.53,184.63,352.42,351.16,186.14,179.79
6,178.73,185.22,351.68,351.15,186.79,180.86
7,178.67,184.96,351.69,350.94,187.4,181.08
8,179.83,185.22,352.0,350.94,187.42,181.08
9,179.89,185.31,352.0,350.8,187.11,180.54
10,179.53,185.72,351.78,350.99,186.64,181.07
11,179.9,185.31,351.93,350.58,186.16,181.07
12,179.53,185.48,351.71,351.01,186.3,180.64
13,179.22,185.45,351.61,351.06,186.04,180.97
14,179.96,185.01,351.71,351.06,186.18,180.95
15,180.4,185.11,352.08,350.99,186.58,181.37
16,180.88,184.73,352.13,350.7,186.54,182.01
17,180.51,184.59,351.92,350.85,186.8,181.49
18,180.14,184.18,351.92,350.66,186.0,181.27
19,180.76,184.46,352.29,350.77,185.54,181.58
20,181.04,184.46,352.34,350.77,185.44,181.59
21,181.09,184.55,352.38,350.77,185.1,181.91
22,181.09,185.24,352.17,351.12,186.0,181.92
23,181.09,184.55,352.17,350.77,185.66,182.24
24,181.09,184.55,352.17,350.98,185.66,181.71
25,181.09,183.71,352.17,350.57,186.01,182.03
26,181.39,185.1,352.12,351.28,186.08,182.35
27,181.46,185.86,352.34,352.03,186.24,182.03
28,181.88,184.9,352.55,351.68,186.73,182.03
29,180.26,185.68,352.55,352.03,186.73,181.72
30,181.78,185.94,353.07,352.03,186.95,182.04
31,181.3,185.59,352.87,352.03,187.13,182.04
32,181.66,186.21,352.64,352.31,188.03,182.78
33,181.66,186.69,352.21,352.29,188.81,183.54
34,181.57,186.69,352.34,352.5,188.3,183.01
35,180.84,186.65,352.17,352.46,188.6,183.35
36,180.42,185.95,351.96,352.1,189.17,183.02
37,179.25,184.19,351.57,351.12,190.3,183.99
38,179.39,183.94,351.1,350.65,190.73,184.41
39,178.13,183.04,350.93,350.07,190.59,184.4
40,176.81,182.36,350.46,349.38,190.59,184.78
41,177.62,183.55,350.56,349.78,191.16,184.45
42,178.52,186.12,350.93,350.71,192.2,186.34
43,179.81,186.29,351.07,350.65,192.35,186.11
44,179.39,186.33,350.86,350.4,193.25,186.34
45,182.08,187.51,350.6,350.4,193.53,185.73
46,190.5,188.11,354.39,350.36,191.21,184.89
47,198.3,191.31,358.02,351.16,191.37,184.55
48,203.44,197.37,358.59,351.26,190.47,184.04
49,205.12,201.26,357.5,351.19,189.68,183.89
50,208.4,205.87,357.7,351.03,187.82,183.1
51,218.32,210.96,0.64,350.02,187.96,182.75
52,224.68,215.42,0.93,349.71,187.44,183.16
53,225.78,219.82,357.59,348.6,187.22,183.12
54,226.18,225.14,357.34,347.99,187.87,183.01
55,230.68,229.94,349.72,345.97,187.58,183.04
56,232.58,237.08,352.37,346.42,185.07,182.33
57,232.95,243.39,359.3,344.7,185.47,181.84
58,237.72,251.38,358.41,344.14,184.08,181.68
59,243.79,260.54,357.88,343.61,184.26,181.76
60,256.37,265.85,347.11,342.88,184.38,180.92
61,263.05,272.13,344.08,342.33,184.35,180.71
62,266.16,280.49,343.39,342.33,183.73,180.71
63,270.52,283.91,342.8,342.88,183.0,179.8
64,272.29,288.5,344.05,343.61,183.16,178.3
65,278.0,292.22,346.08,344.03,182.33,177.29
66,284.2,296.29,347.06,341.64,182.32,176.07
67,282.44,298.91,340.08,339.87,182.02,175.61
68,285.7,299.63,336.07,337.1,180.84,174.84
69,289.56,300.32,338.26,336.27,178.66,173.82
70,295.84,302.04,339.01,333.67,177.54,173.1
71,303.09,303.13,335.01,331.46,177.77,172.41
72,302.68,305.18,336.72,330.87,178.65,173.16
73,312.44,314.51,336.77,330.52,177.43,172.94
74,316.31,317.42,337.39,328.29,178.09,173.12
