frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
121,0.31,45.12,305.61,24.18,182.59,167.25
122,1.99,46.6,311.64,24.88,182.47,167.06
123,5.18,45.89,310.83,24.05,182.53,167.04
124,348.23,46.33,323.29,24.81,182.77,167.24
125,346.03,46.56,325.41,25.21,182.99,167.34
126,345.49,45.77,326.6,25.33,183.06,167.43
127,346.53,44.16,324.47,25.05,183.13,167.7
128,344.76,43.65,326.67,24.98,183.48,167.91
129,351.73,43.62,320.21,24.94,183.69,168.17
130,355.27,45.27,318.38,25.39,184.06,168.37
131,354.92,46.73,318.34,25.65,184.22,168.64
132,4.42,49.18,313.8,26.82,184.57,168.74
133,1.78,50.5,312.31,27.45,184.62,168.69
134,345.54,48.28,323.45,26.57,184.76,168.89
135,344.82,47.17,323.48,25.74,184.62,168.87
136,343.37,46.55,324.35,25.37,184.42,168.93
137,342.13,45.37,329.2,23.55,184.64,168.76
138,341.71,45.66,330.58,22.4,184.72,168.85
139,340.79,50.09,329.39,24.77,185.2,168.98
140,340.48,51.19,329.21,25.17,185.4,169.12
141,340.37,51.12,328.93,25.33,184.91,168.86
142,340.41,51.15,328.58,25.41,184.65,168.77
143,342.53,51.62,328.46,24.41,184.02,168.54
144,343.15,51.92,328.91,23.6,183.8,168.51
145,350.28,63.31,314.56,27.22,183.4,169.58
146,355.09,63.26,312.08,26.19,183.36,169.75
147,2.47,65.0,309.58,23.76,182.64,169.04
148,7.04,66.08,307.83,22.47,182.27,168.74
149,10.97,66.82,306.84,22.53,182.4,168.67
150,1.52,64.54,330.26,22.01,184.35,169.01
151,7.42,66.06,334.98,20.2,186.94,171.08
152,8.2,66.12,335.37,19.87,186.91,170.79
153,7.56,65.24,335.16,19.76,186.9,170.44
154,23.48,68.31,331.93,20.15,188.66,172.41
155,29.84,69.53,330.7,20.34,188.94,172.97
156,52.02,76.23,329.64,22.14,187.02,174.65
157,55.23,71.11,328.12,20.8,185.8,173.58
158,76.91,77.4,327.39,18.83,185.21,174.33
159,97.56,89.8,325.38,17.45,183.98,174.06
160,103.13,93.39,325.0,17.69,185.1,173.09
161,118.38,99.48,325.68,18.34,183.76,172.67
162,124.73,99.01,326.73,18.58,184.81,172.64
163,134.45,124.37,327.98,18.0,184.92,173.87
164,138.56,125.35,329.05,19.04,184.6,175.1
165,142.14,131.31,329.24,18.62,182.42,175.59
166,146.11,126.14,332.04,17.29,182.82,171.65
167,146.48,126.18,332.2,17.13,181.43,170.4
168,149.5,132.58,332.2,16.65,181.32,166.97
169,148.59,132.46,331.98,16.22,182.27,166.79
170,148.14,140.38,330.83,16.18,183.0,167.9
171,147.8,143.36,330.77,16.05,183.14,168.31
172,149.07,148.71,331.32,16.26,182.54,168.19
173,148.58,152.62,330.46,16.28,179.85,165.69
174,149.1,152.58,330.39,16.41,179.27,165.24
175,149.85,152.36,329.24,16.23,176.87,163.16
176,151.08,155.28,329.03,16.7,172.2,152.7
177,152.16,158.17,327.91,16.62,165.39,133.53
178,153.43,160.33,328.73,16.7,163.69,120.46
179,155.52,163.2,329.34,16.44,168.27,135.62
180,157.11,163.56,329.79,16.18,165.44,138.24
181,157.87,165.82,329.64,15.86,169.3,139.55
182,158.14,166.83,329.6,15.8,170.19,141.05
183,161.19,168.41,330.44,15.7,172.52,151.51
184,163.78,169.91,330.6,15.79,177.24,159.68
185,164.92,170.23,331.04,15.53,180.81,163.49
186,166.52,171.27,331.52,15.42,183.15,166.49
187,167.69,172.08,332.19,15.51,183.02,166.82
188,168.91,172.99,332.92,15.45,184.16,169.07
189,169.67,173.24,333.3,15.35,184.18,169.77
190,170.48,174.81,333.31,15.95,183.42,169.29
191,171.34,176.23,333.48,15.97,183.18,169.5
192,171.98,176.9,333.65,15.95,183.02,169.83
193,172.03,176.25,333.57,15.99,183.46,170.92
194,172.17,176.05,333.53,16.18,183.64,171.02
195,172.54,175.77,333.71,15.45,183.91,171.22
196,172.53,175.82,333.78,15.2,183.86,171.41
197,172.95,176.83,333.95,15.17,184.05,172.46
198,173.23,177.14,333.93,14.95,184.15,172.92
199,172.77,176.34,334.09,14.15,183.92,173.77
200,172.37,175.96,334.12,13.95,183.55,173.91
201,172.89,176.58,334.17,14.36,183.23,173.03
202,173.26,177.41,334.48,14.35,183.29,173.49
203,173.67,177.35,334.55,14.12,183.54,173.74
204,174.44,178.37,334.55,14.07,183.51,173.58
205,174.98,179.11,334.55,14.1,183.38,173.5
206,175.31,179.18,334.43,14.02,183.14,173.49
207,175.48,179.42,334.37,14.0,183.2,173.42
208,174.86,180.31,333.79,14.23,182.19,172.49
209,175.57,180.88,333.57,14.73,182.97,173.07
210,175.91,180.87,333.72,14.68,183.11,173.51
211,176.88,179.71,333.63,14.08,182.93,173.0
212,177.29,179.29,333.54,13.77,182.76,172.77
213,177.54,177.71,334.01,12.65,182.76,172.75
214,177.68,176.87,334.16,12.03,182.78,172.67
215,177.78,177.54,334.04,11.94,182.21,172.23
216,177.84,179.86,334.16,12.83,182.16,172.13
217,177.9,180.67,334.34,13.07,181.86,172.3
218,178.86,181.95,335.06,12.78,181.96,173.17
219,179.21,181.32,335.21,12.44,182.3,173.42
220,179.26,182.35,335.26,12.71,183.03,173.75
221,179.41,182.63,335.6,12.69,183.07,174.12
222,179.48,184.25,335.5,13.33,183.23,174.1
