frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,177.93,187.59,333.71,25.13,182.7,169.41
1,177.27,188.07,333.2,23.29,183.62,171.75
2,177.89,188.04,333.56,22.26,184.08,172.56
3,178.25,187.82,333.19,22.05,184.31,171.32
4,178.72,187.76,332.54,21.3,184.52,171.12
5,178.82,188.22,332.02,20.83,184.29,170.99
6,179.4,187.8,331.87,20.27,184.36,170.97
7,179.83,189.09,331.71,20.62,184.56,171.05
8,179.21,190.12,331.14,20.91,183.84,171.05
9,178.89,190.76,331.14,21.03,183.59,171.45
10,179.27,191.01,331.37,20.94,183.02,170.8
11,178.52,191.28,331.0,20.87,183.0,170.59
12,178.22,191.15,330.95,20.72,183.05,170.15
13,178.78,191.08,331.19,20.52,183.08,170.3
14,178.49,190.67,331.07,20.45,182.91,170.29
15,178.13,190.24,330.96,20.38,182.75,170.29
16,177.57,190.17,330.71,19.98,182.36,170.6
17,177.28,190.09,330.73,19.91,182.34,170.6
18,176.57,189.79,330.8,20.0,182.69,170.58
19,176.27,189.14,330.95,19.86,183.11,170.65
20,175.97,189.14,331.1,19.71,182.96,171.03
21,175.97,189.14,331.08,19.71,183.2,171.04
22,175.97,189.14,331.08,19.71,183.2,171.04
23,175.48,188.89,330.83,19.41,182.58,171.05
24,175.31,188.82,330.69,19.18,182.17,171.22
25,175.06,188.88,330.54,18.9,182.34,171.43
26,175.0,188.81,330.6,18.75,182.49,171.8
27,174.95,188.77,330.6,18.75,182.47,171.79
28,174.99,187.96,330.92,18.33,182.58,171.8
29,175.48,187.22,331.12,17.98,182.75,171.59
30,175.82,187.14,331.34,17.93,182.86,171.59
31,175.17,187.17,331.51,18.08,182.44,171.21
32,175.21,186.52,331.92,17.95,182.07,170.62
33,174.4,186.64,331.71,18.01,181.77,170.62
34,174.04,186.66,331.69,18.01,181.62,170.41
35,174.04,186.69,331.69,18.01,181.65,170.43
36,172.97,186.52,331.72,18.28,181.2,170.03
37,172.4,186.49,331.56,18.2,181.02,170.04
38,171.46,187.45,331.73,18.82,181.16,170.53
39,171.62,187.46,331.9,19.19,181.32,170.5
40,171.33,187.75,331.9,19.33,181.32,170.65
41,171.38,187.07,332.2,19.17,181.07,170.77
