frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,241.89,235.04,352.08,9.97,177.72,168.1
1,253.98,253.73,348.09,11.35,183.97,166.99
2,257.76,270.41,343.45,7.4,183.9,167.92
3,261.4,274.04,338.45,5.23,183.9,168.38
4,267.34,283.57,337.97,5.71,182.8,168.49
5,277.29,293.55,338.73,7.44,184.07,168.21
6,279.19,301.26,333.85,6.87,183.05,168.79
7,280.6,302.33,333.16,8.15,180.65,168.06
8,290.26,306.36,334.78,10.25,179.12,168.22
9,292.75,307.24,337.93,10.81,177.66,168.41
10,299.1,305.81,338.27,9.67,177.66,168.16
11,300.09,306.84,339.21,9.14,176.99,168.4
12,301.55,308.37,339.57,8.81,177.62,168.22
13,302.6,309.2,339.38,8.76,177.62,168.09
14,300.53,308.95,339.28,8.76,177.89,167.93
15,297.02,308.88,338.75,9.12,177.76,168.23
16,293.77,307.55,336.89,9.2,178.06,168.16
17,291.58,304.54,338.12,8.71,179.31,168.18
18,281.66,304.07,338.53,8.4,179.31,168.49
19,271.9,295.62,338.59,6.14,180.81,168.86
20,265.16,286.6,338.36,5.96,181.23,169.03
21,256.33,280.97,338.62,4.07,182.34,169.65
22,249.93,266.63,341.99,5.02,182.97,169.33
23,232.68,255.42,344.98,7.56,183.51,169.13
24,232.11,249.76,347.03,7.98,183.31,168.71
25,234.69,241.36,347.34,7.98,182.55,168.57
26,231.67,232.77,347.2,8.62,182.73,168.69
27,226.47,223.5,347.27,9.55,182.76,168.84
28,220.01,218.47,347.07,9.65,182.96,168.59
29,215.11,216.27,347.36,9.73,183.56,168.86
30,209.29,213.45,347.21,9.43,184.06,169.28
31,205.94,209.5,346.5,8.1,184.46,169.49
32,201.8,202.21,347.43,5.4,185.61,169.38
33,199.77,198.38,348.11,3.93,191.11,169.16
34,197.52,193.99,348.91,3.13,188.6,168.42
35,196.32,191.03,349.59,2.24,192.69,168.0
36,195.14,188.66,350.47,2.25,189.94,166.96
37,194.11,185.28,350.46,2.17,189.21,166.52
38,190.15,184.05,350.29,2.74,188.25,165.77
39,185.03,182.32,350.17,3.46,187.42,164.32
40,183.21,182.02,350.24,3.71,187.05,163.86
41,181.33,181.27,350.71,4.48,185.03,161.21
42,180.32,181.23,351.12,4.91,183.74,160.66
43,180.37,180.84,351.9,5.48,182.52,159.95
44,179.63,180.93,352.3,5.97,181.69,159.32
45,180.89,181.1,352.9,6.61,180.98,159.07
46,180.86,181.01,353.21,7.11,180.74,159.09
47,181.7,181.18,353.62,7.28,180.6,159.09
48,182.38,181.38,353.73,7.28,180.74,159.12
49,183.5,181.42,354.26,7.21,180.64,158.9
50,183.73,181.41,354.36,7.4,180.71,158.54
51,183.96,181.24,354.44,7.46,180.45,158.06
52,184.17,181.23,354.74,7.68,180.38,157.91
53,183.53,181.24,354.43,7.72,180.11,157.52
54,183.09,181.62,354.33,8.09,179.97,157.17
55,183.29,181.68,354.97,8.12,179.3,156.72
