frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,285.05,285.9,341.45,13.34,184.11,164.6
1,293.08,300.04,340.27,14.3,184.38,165.55
2,294.92,307.38,340.13,15.13,184.69,165.84
3,297.96,312.76,339.38,14.22,184.65,165.8
4,300.54,310.76,339.59,13.56,184.69,166.04
5,301.98,312.39,340.92,13.3,185.02,166.1
6,300.15,312.69,342.21,13.17,185.21,166.4
7,298.15,308.84,341.64,13.44,185.41,166.67
8,294.18,301.95,342.71,13.83,185.27,166.67
9,289.07,299.21,341.77,14.13,185.25,166.8
10,282.21,296.46,341.16,11.61,185.76,167.27
11,275.85,301.02,337.61,8.39,186.22,167.77
12,270.26,296.38,337.68,7.17,186.66,168.02
13,260.09,294.56,337.78,4.06,186.77,168.07
14,255.61,291.33,337.99,5.37,187.09,168.28
15,252.69,265.98,341.87,9.52,187.04,168.63
16,246.5,244.01,342.88,11.62,187.68,169.59
17,240.35,221.97,343.41,12.88,188.79,170.39
18,233.61,219.87,343.63,14.01,189.34,170.61
19,226.8,217.49,343.48,13.72,190.32,171.67
20,218.73,217.93,343.19,13.74,190.37,172.44
21,209.8,216.46,343.25,13.91,190.45,172.94
22,205.27,212.84,343.83,13.83,190.35,172.26
23,201.01,211.58,344.81,14.3,189.74,170.65
24,199.32,210.55,345.14,14.56,189.11,169.68
25,196.02,208.85,345.55,14.44,188.73,168.2
26,194.17,206.46,347.0,14.48,187.62,166.92
27,191.83,203.45,347.91,13.82,187.47,166.06
28,191.59,200.45,348.64,13.8,187.32,164.47
29,188.42,196.9,348.5,13.78,186.92,163.28
30,184.9,194.18,348.73,13.35,186.56,163.1
31,185.04,192.6,348.95,13.33,186.59,162.75
32,184.22,191.37,349.37,13.22,185.63,161.79
33,181.95,190.69,349.7,13.05,185.11,161.48
34,180.5,189.73,350.12,13.01,184.4,161.11
35,180.12,188.67,350.69,12.85,183.15,160.93
36,180.1,188.08,350.58,12.62,182.84,161.46
37,179.62,187.72,350.47,12.64,182.38,161.47
38,179.36,187.9,350.58,12.61,182.44,161.85
39,179.81,188.26,350.67,12.67,182.35,162.49
40,180.27,188.25,350.67,12.67,182.33,162.81
41,180.5,188.26,350.64,12.68,182.38,162.81
42,180.3,188.46,350.54,12.72,182.25,162.79
43,180.75,188.46,350.75,12.72,182.44,162.79
44,179.44,188.65,350.19,13.03,181.93,162.68
45,179.48,188.86,350.11,13.26,181.6,162.29
46,179.51,188.68,350.11,13.2,181.21,162.16
