frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,170.47,146.83,19.75,16.88,93.0,92.37
1,172.05,167.43,11.39,11.13,130.19,133.23
2,171.89,175.94,5.59,9.4,138.52,146.28
3,169.22,176.02,1.35,8.18,140.65,155.14
4,167.69,174.29,355.48,2.93,161.57,162.45
5,166.45,177.88,352.15,359.0,168.71,170.28
6,165.29,176.37,351.71,357.67,168.65,172.7
7,165.27,169.43,349.47,353.07,175.48,175.26
8,162.51,165.84,349.76,352.21,175.86,179.88
9,161.88,166.42,348.71,352.32,180.13,181.18
10,160.5,166.5,349.53,352.33,180.85,181.96
11,158.76,164.52,351.81,352.07,179.98,181.01
12,156.03,163.72,352.84,352.88,179.96,181.56
13,153.21,157.43,355.09,353.28,177.35,179.3
14,153.0,154.49,356.07,353.63,177.71,180.19
15,152.08,152.69,357.33,354.34,177.71,180.18
16,149.59,147.72,357.85,355.41,179.44,181.09
17,146.37,148.85,359.15,356.88,179.43,181.07
18,136.84,138.81,0.44,356.42,179.41,183.3
19,132.12,132.67,1.76,356.38,178.41,146.43
20,126.42,126.84,1.1,356.38,178.4,152.46
21,121.28,124.38,1.81,356.71,178.4,177.06
22,115.64,119.4,1.82,357.09,178.4,180.76
23,108.08,98.56,4.99,357.74,179.25,182.55
24,102.06,94.24,5.69,358.09,179.72,183.43
25,95.64,87.8,6.4,358.1,179.72,183.43
26,91.63,80.93,8.17,358.86,178.87,183.44
27,87.51,80.26,10.25,0.72,179.36,184.34
28,79.46,74.13,10.25,1.78,179.36,185.23
29,74.27,70.22,12.3,2.86,179.36,186.11
30,71.3,66.6,13.13,3.94,179.36,187.0
31,66.46,63.76,13.88,5.52,178.12,187.0
32,65.32,59.68,15.39,6.65,178.13,186.6
33,63.32,56.77,17.5,8.51,177.26,186.23
34,61.44,54.66,18.18,9.39,177.27,186.26
35,59.14,52.75,19.28,11.56,177.27,186.23
36,56.74,49.99,19.96,12.66,177.28,186.36
37,53.05,47.02,21.59,13.03,177.26,186.49
38,48.48,42.81,21.59,12.5,176.75,187.04
39,47.51,40.78,22.53,12.68,176.76,187.52
40,46.98,38.69,23.35,11.75,176.75,187.9
41,45.49,37.91,23.63,12.11,176.26,186.98
42,45.21,36.37,24.05,11.36,176.27,187.02
43,45.43,35.12,24.42,12.66,175.91,186.88
44,44.45,35.02,23.81,13.02,175.55,187.3
45,44.13,35.32,23.81,12.66,175.54,187.16
46,44.4,34.17,24.09,12.66,175.54,187.16
47,44.4,34.27,24.11,11.89,175.05,186.64
48,45.49,34.38,24.76,12.44,175.8,187.52
49,45.81,34.97,24.76,12.44,175.8,187.52
50,45.81,34.97,24.76,12.44,175.8,187.52
51,45.81,34.67,24.76,12.83,175.8,186.63
52,45.81,34.38,24.76,12.83,175.8,186.63
53,46.13,35.32,24.76,12.23,175.8,187.02
54,46.13,35.64,24.76,12.23,175.8,187.02
55,45.43,35.55,24.44,11.67,175.42,186.15
56,45.11,35.55,24.44,11.67,175.42,186.15
57,45.11,35.55,24.06,11.67,176.28,186.15
58,46.22,36.41,24.78,11.28,175.78,186.54
59,46.22,37.26,24.78,11.28,175.78,186.54
60,46.95,39.0,24.76,10.94,175.78,186.16
61,47.66,39.0,24.76,10.94,175.78,186.16
62,48.37,39.81,24.76,10.94,175.78,186.16
63,50.45,41.0,25.08,10.94,176.16,186.16
64,52.77,40.46,25.4,10.42,176.15,185.76
65,52.7,41.15,25.37,11.92,176.15,186.28
66,55.04,41.32,27.07,12.45,175.64,186.28
67,56.04,41.32,27.07,12.47,175.64,186.81
68,59.3,45.58,27.06,13.03,175.65,185.9
69,61.0,48.55,27.37,13.03,176.01,185.9
70,63.97,48.81,28.08,12.83,175.15,185.9
71,67.06,50.86,28.07,12.65,175.14,186.28
72,69.78,53.65,28.75,12.45,174.64,186.28
73,75.38,60.37,28.06,12.09,174.62,186.33
74,77.34,61.36,26.34,10.58,174.62,186.35
75,79.91,63.75,25.27,8.43,176.02,186.89
76,83.17,66.64,24.67,7.38,176.02,188.16
77,89.0,73.86,23.97,7.38,176.02,188.16
78,92.56,80.72,21.51,5.62,176.52,188.52
79,94.86,81.25,19.16,3.12,176.14,187.94
80,97.88,85.62,18.48,1.97,176.14,187.04
81,99.32,88.45,16.23,2.3,176.64,186.15
82,101.54,96.09,15.55,3.06,176.65,186.15
83,110.07,110.53,13.99,3.04,177.16,186.15
84,114.28,118.01,13.3,2.28,177.66,186.15
85,121.25,123.87,12.93,2.21,178.52,186.15
86,125.64,129.74,11.9,1.03,177.66,186.3
87,131.82,136.3,10.81,0.98,178.53,186.3
88,139.22,137.46,7.89,0.23,179.52,104.02
89,141.45,136.99,5.4,359.54,180.39,65.38
90,143.3,139.76,4.69,359.19,179.89,178.96
91,146.41,144.03,3.24,0.36,180.38,182.59
92,148.38,149.08,2.81,0.74,181.31,182.81
93,154.45,155.95,2.44,359.64,180.96,183.43
94,158.06,158.51,1.48,359.64,180.07,183.54
95,162.47,159.35,1.47,359.65,180.09,183.43
96,162.32,161.2,0.5,358.58,179.2,182.98
97,162.81,165.56,358.88,357.51,178.82,182.61
98,163.85,165.13,356.21,354.62,178.83,182.65
99,164.66,166.25,354.25,352.48,178.83,182.73
