frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,183.76,187.22,352.07,351.53,185.65,179.75
1,181.28,186.34,350.23,351.25,185.36,179.3
2,184.35,185.54,353.2,350.95,182.27,178.02
3,184.41,186.26,353.46,351.28,186.52,179.11
4,183.14,184.79,352.89,350.18,187.28,179.69
5,184.37,184.42,353.24,350.29,186.6,179.41
6,184.6,182.92,353.59,349.71,187.1,179.91
7,184.62,182.48,353.34,349.52,187.02,180.65
8,184.67,182.93,353.54,350.23,186.04,179.4
9,184.48,182.09,353.67,350.08,186.27,178.88
10,185.03,180.9,353.89,349.63,185.73,178.36
11,185.52,181.32,353.86,349.93,186.17,178.79
12,184.93,181.17,353.82,349.86,186.19,178.8
13,184.99,182.98,354.04,350.53,185.63,179.53
14,185.39,182.16,354.42,350.1,185.64,179.53
15,185.53,181.46,354.43,349.8,185.29,179.53
16,185.46,181.97,354.21,350.01,185.86,179.74
17,185.4,182.28,354.23,350.01,185.49,179.74
18,184.84,182.28,353.96,349.79,186.07,180.26
19,185.34,181.38,353.77,349.36,186.97,180.26
20,185.34,181.38,353.77,349.58,186.62,179.75
21,185.82,181.46,353.99,349.36,186.39,180.27
22,185.81,181.38,353.98,349.37,186.06,180.27
23,185.81,181.55,353.98,349.5,186.06,179.83
24,185.34,181.92,353.77,349.65,186.28,179.75
25,185.26,181.92,353.96,349.65,186.15,180.05
26,185.62,181.92,353.99,349.64,186.49,180.05
27,185.26,182.73,353.9,350.07,185.79,179.75
28,185.3,183.57,353.77,350.36,185.91,180.62
29,184.05,185.43,353.01,350.97,186.33,181.48
30,181.7,185.2,351.52,350.76,186.7,181.92
31,181.66,185.28,351.25,350.75,187.68,181.93
32,181.99,184.89,351.24,350.53,187.55,182.45
33,181.99,185.26,351.24,350.69,188.35,182.66
34,181.88,185.52,351.18,350.79,189.19,182.9
35,182.4,186.37,351.18,350.97,190.78,183.1
36,183.28,186.49,351.54,351.02,190.41,183.09
37,183.4,187.8,351.81,351.79,189.33,182.63
38,183.79,189.65,352.21,352.42,189.5,182.41
39,184.65,191.48,352.4,353.01,189.53,181.92
40,186.48,193.88,353.23,353.62,188.32,181.42
41,189.78,198.97,353.45,354.99,186.98,180.21
42,191.67,204.83,353.85,356.92,185.14,179.79
43,195.58,209.91,354.43,357.91,184.66,179.57
44,200.88,216.49,355.08,358.36,183.44,178.85
45,207.18,224.02,356.31,359.73,182.29,178.92
46,214.66,230.81,357.76,0.12,181.31,179.21
47,223.83,236.69,358.76,359.73,181.42,179.5
48,230.38,241.76,359.41,358.97,180.43,179.78
49,235.36,246.53,359.19,358.59,180.32,179.79
50,241.52,251.65,359.35,358.6,180.65,179.79
51,250.09,260.04,359.75,356.08,180.64,180.44
52,257.05,264.57,359.96,354.62,180.11,180.43
53,266.14,269.02,0.18,354.92,179.26,180.58
54,269.78,274.13,0.19,355.18,179.25,181.03
55,273.77,279.5,359.79,355.08,179.89,181.77
56,272.87,287.55,1.72,354.61,180.75,181.36
57,286.28,292.26,1.53,353.26,180.54,180.88
58,279.3,294.81,0.85,350.75,180.64,180.1
59,285.13,296.85,1.28,349.62,180.62,179.37
60,285.96,299.72,359.57,347.78,180.63,179.16
61,294.55,304.29,355.02,345.35,181.48,179.32
62,301.94,306.53,354.21,344.77,181.62,179.06
63,311.98,318.78,352.42,343.37,182.57,180.37
64,316.43,326.86,351.41,343.97,182.64,182.02
65,315.81,329.5,351.34,344.69,182.58,180.99
66,318.06,336.05,1.13,346.47,182.41,183.72
67,314.56,343.17,3.18,347.85,182.86,183.84
68,310.95,343.1,2.5,347.97,182.7,183.92
