frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,172.42,164.87,6.35,358.78,181.99,174.32
1,172.48,168.5,6.1,0.13,182.19,175.06
2,172.08,167.66,5.9,359.52,182.67,175.28
3,172.26,166.5,5.96,358.9,182.67,175.95
4,171.86,166.37,5.55,358.9,182.97,175.43
5,172.72,166.37,5.69,358.69,183.18,175.65
6,173.18,167.19,5.75,359.28,183.18,175.61
7,173.18,168.05,5.73,359.68,183.19,175.51
8,173.18,169.71,5.73,0.46,183.19,175.43
9,173.57,169.71,5.73,0.46,183.19,175.43
10,173.92,168.87,6.08,0.07,183.19,175.49
11,173.92,168.87,6.08,0.07,183.19,175.49
12,174.15,169.47,6.22,0.1,183.4,175.73
13,174.33,169.47,6.28,0.1,183.4,176.33
14,174.33,169.47,6.28,0.1,183.4,176.8
15,174.33,169.87,6.28,0.28,183.4,176.92
16,174.33,169.87,6.28,0.28,183.4,176.87
17,174.33,169.87,6.28,0.3,183.4,176.75
18,174.39,169.42,6.34,0.3,183.39,177.23
19,175.14,169.87,6.69,0.32,183.1,176.78
20,175.14,168.18,6.7,359.52,183.08,176.78
21,174.39,167.34,6.36,359.12,183.08,176.78
22,174.28,167.21,6.34,359.1,183.1,176.75
23,174.1,166.12,6.26,358.54,182.89,176.54
24,173.93,166.12,6.2,358.54,182.89,176.74
25,173.18,164.85,5.85,357.94,183.19,177.31
26,173.06,164.01,5.85,357.54,183.19,177.73
27,171.99,163.47,5.57,357.35,183.17,177.14
28,170.56,162.63,5.22,356.94,183.17,177.6
29,168.08,162.63,4.81,356.94,183.17,177.81
30,165.2,162.23,4.51,356.77,182.87,178.16
31,161.96,160.94,4.14,356.37,182.89,178.12
32,158.91,159.98,3.88,356.56,183.4,179.15
33,156.4,157.43,3.79,356.54,183.14,179.48
34,152.08,154.88,3.79,355.91,183.19,179.71
35,147.78,154.26,3.61,355.69,182.98,180.26
36,143.09,148.73,3.79,355.69,182.49,180.29
37,137.8,143.58,4.08,355.65,182.81,181.07
38,133.75,144.05,4.07,356.61,182.83,182.0
39,129.52,142.25,4.4,357.37,182.85,182.04
40,125.01,142.56,4.34,358.15,183.16,182.1
41,121.4,138.67,4.66,358.71,183.19,181.66
42,118.08,134.6,5.06,359.3,182.91,181.9
43,114.16,130.41,5.4,359.5,182.91,181.48
44,109.82,122.02,5.18,359.1,183.42,181.85
45,105.11,115.67,4.99,358.75,183.4,182.58
46,100.63,108.18,4.66,358.57,183.44,182.33
47,95.59,94.91,4.51,358.4,182.95,182.17
48,91.8,89.05,4.44,358.75,182.72,180.84
49,88.98,85.29,4.23,358.59,181.98,180.62
50,84.12,82.32,4.76,358.8,181.26,179.37
51,79.7,78.51,5.18,359.01,181.25,179.91
52,76.14,75.41,5.23,359.43,181.54,180.6
53,72.59,71.39,5.23,359.55,181.54,179.26
54,67.87,67.31,5.83,0.99,181.01,179.74
55,63.58,59.88,6.48,4.74,181.07,180.09
56,58.55,57.12,6.71,5.38,181.13,177.25
57,55.65,55.35,6.66,5.18,181.11,178.85
58,53.38,50.95,6.72,4.67,181.1,179.54
59,51.56,46.57,6.72,3.61,181.39,178.84
60,49.44,45.39,6.99,4.03,180.89,178.46
