frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,145.38,135.84,344.86,4.18,191.71,177.42
1,134.86,91.16,349.8,11.28,188.82,177.4
2,118.39,82.02,350.73,11.59,187.28,175.73
3,82.09,73.02,352.36,11.14,189.67,178.03
4,67.85,66.3,351.71,13.15,190.59,178.98
5,60.95,66.88,351.59,14.88,190.53,179.25
6,54.58,67.07,351.69,17.91,190.23,179.91
7,61.23,66.29,349.94,16.67,189.04,179.9
8,51.98,64.38,350.89,16.8,188.61,179.93
9,49.6,60.54,351.47,16.07,188.45,179.02
10,48.11,58.77,351.82,15.77,188.43,179.11
11,47.08,62.52,352.16,15.48,188.2,180.19
12,48.88,63.3,352.11,15.05,188.36,179.91
13,52.97,66.74,352.08,15.54,188.21,180.37
14,53.66,66.18,352.34,15.98,187.83,180.22
15,59.5,62.69,352.85,13.9,187.76,180.88
16,64.16,69.39,351.22,13.83,187.85,181.3
17,73.06,77.71,350.49,12.97,187.87,179.94
18,67.64,82.61,349.6,12.26,187.64,177.74
19,94.29,91.53,350.06,10.22,187.72,177.44
20,86.13,147.34,349.79,7.49,188.55,177.21
21,97.26,148.43,350.21,5.29,188.92,177.49
22,113.49,112.29,350.21,4.74,189.8,178.85
23,110.15,110.69,350.28,5.82,190.32,179.53
24,116.3,118.1,350.2,6.39,190.71,179.66
25,128.56,120.23,350.0,6.67,190.79,179.76
26,136.34,124.36,348.36,6.88,191.16,179.75
27,139.42,128.83,348.19,7.33,191.17,179.42
28,140.29,132.98,348.59,7.69,190.82,178.96
29,139.86,135.54,348.24,8.03,189.97,178.46
30,141.29,137.9,348.48,8.81,188.73,178.21
31,144.74,141.94,349.05,9.24,188.63,178.0
32,146.74,146.84,349.47,9.82,186.42,177.66
33,148.46,150.28,349.88,9.96,185.87,178.02
34,149.36,154.19,350.07,10.06,185.36,177.93
35,152.39,156.67,350.92,9.84,184.74,177.74
36,155.29,159.86,352.04,9.57,185.23,178.03
37,159.05,162.02,353.43,9.1,185.79,177.8
38,161.24,164.26,353.8,8.84,186.02,177.57
39,162.93,164.57,353.99,7.94,185.97,177.63
40,164.61,164.05,353.91,7.38,184.77,177.36
41,165.07,163.55,353.83,6.46,184.86,177.41
42,165.93,161.46,353.82,5.24,185.5,177.4
