frame number,r_arm,l_arm,r_armpit,l_armpit,r_hip,l_hip
0,176.34,175.31,352.5,353.88,185.92,184.81
1,172.46,176.58,352.0,356.01,183.51,186.92
2,172.77,177.24,352.37,356.91,184.15,188.57
3,171.14,172.74,353.62,357.84,186.5,189.86
4,169.72,173.7,353.19,358.52,185.16,190.13
5,169.11,172.08,353.04,359.28,188.6,190.19
6,164.89,169.84,352.81,359.17,190.06,190.4
7,165.17,167.81,355.14,359.09,188.26,189.93
8,161.7,166.04,356.87,0.02,186.13,188.65
9,159.78,160.46,357.25,357.83,185.93,187.92
10,153.11,158.61,358.24,358.15,185.06,186.78
11,151.22,155.66,358.59,357.05,184.68,185.82
12,148.94,153.82,358.84,356.99,185.58,185.9
13,146.22,150.86,359.77,356.98,185.94,185.76
14,144.66,143.73,0.41,356.17,185.46,159.46
15,131.79,133.11,0.42,356.16,185.43,173.9
16,123.38,127.29,1.18,356.18,183.59,178.27
17,118.67,122.26,2.51,356.18,183.58,183.09
18,112.43,112.56,2.87,356.91,182.66,184.76
19,104.75,107.0,2.92,357.23,182.66,186.23
20,96.33,93.43,2.92,357.25,182.66,186.73
21,91.64,84.67,4.4,358.0,182.67,186.7
22,88.13,78.91,5.15,358.76,182.67,186.14
23,84.08,74.38,5.22,358.75,182.65,186.12
24,79.75,70.9,7.31,0.5,182.65,186.47
25,76.17,68.23,11.27,1.9,182.64,187.01
26,73.33,68.16,11.64,2.6,182.27,187.01
27,70.19,66.01,14.16,3.65,181.89,187.39
28,66.72,61.55,15.48,4.66,181.89,187.73
29,65.44,61.15,16.7,5.35,181.52,187.73
30,60.81,56.09,17.72,9.07,181.15,187.73
31,60.54,54.98,18.58,10.3,180.65,187.36
32,56.64,53.73,18.58,10.98,180.65,187.33
33,54.67,50.82,18.87,10.98,181.01,187.33
34,53.42,50.06,18.87,10.98,181.01,187.33
35,51.46,45.67,18.87,10.67,181.01,186.92
36,49.7,44.98,18.87,10.0,181.01,186.93
37,49.36,42.35,19.15,9.51,181.37,186.56
38,48.18,41.89,19.79,9.88,181.37,186.19
39,48.24,40.64,20.94,10.25,181.74,185.86
40,47.75,39.67,21.56,10.94,180.87,186.44
41,47.75,40.24,21.56,10.25,180.87,186.44
42,47.63,40.26,22.2,11.1,180.87,186.44
43,48.54,39.57,22.73,11.63,181.24,185.53
44,48.54,38.87,22.73,11.3,181.24,185.16
45,48.54,39.57,22.74,11.63,181.24,185.53
46,49.02,39.57,22.46,11.26,180.73,186.45
47,50.14,40.86,22.1,10.89,181.1,186.82
48,50.61,41.72,21.83,8.39,181.1,186.65
49,52.07,41.91,21.46,6.96,181.97,186.65
50,54.28,42.49,20.83,6.83,181.6,187.33
51,55.83,45.43,19.94,6.94,181.6,188.61
52,61.64,47.49,20.43,6.94,181.61,188.03
53,63.38,49.51,18.87,7.32,182.11,188.37
54,65.99,56.89,18.21,6.73,182.11,188.37
55,73.12,67.33,17.54,6.73,182.11,188.37
56,76.96,73.3,16.66,6.58,182.11,188.43
57,81.98,79.39,16.66,6.43,182.11,188.46
58,86.52,81.79,16.08,6.4,183.47,189.01
59,93.04,82.11,14.74,4.64,183.46,188.64
60,100.16,87.41,14.55,3.2,183.46,188.64
61,105.2,93.85,13.71,2.73,183.46,188.26
62,110.49,96.09,14.35,2.73,183.46,188.26
63,115.63,110.54,14.16,2.36,183.45,187.35
64,119.86,134.74,13.4,0.8,183.08,187.35
65,129.78,138.79,13.11,0.77,182.7,187.38
66,133.99,142.97,12.38,359.73,181.94,186.46
67,137.97,147.71,11.53,358.4,181.2,184.6
68,141.88,147.71,11.36,358.4,180.83,184.6
69,143.34,147.46,10.2,358.41,181.71,184.59
70,150.59,156.1,8.19,358.49,182.24,182.75
71,153.56,157.38,7.15,358.19,183.12,181.81
72,152.67,156.56,5.12,358.22,182.63,179.97
73,156.11,156.89,4.81,358.59,181.77,178.9
74,157.87,157.68,4.45,358.96,180.98,177.98
75,162.78,162.12,3.84,0.36,179.99,176.72
76,163.1,162.7,3.12,0.72,180.0,176.94
77,165.88,166.68,2.76,2.1,180.89,178.14
78,167.14,167.76,2.66,2.08,182.12,178.72
79,168.04,168.62,1.91,1.71,183.87,179.64
80,170.7,171.14,1.92,1.72,183.87,179.64
81,171.31,172.83,0.91,1.36,184.74,180.56
82,173.04,174.73,0.55,0.31,185.58,183.34
83,173.84,176.36,0.2,0.65,185.9,184.26
84,177.08,177.57,0.2,358.89,186.41,187.58
85,176.13,176.77,357.87,358.54,187.28,188.44
86,172.9,174.73,355.6,357.14,187.64,189.02
87,172.08,173.15,355.25,356.44,187.48,189.57
88,173.86,173.51,354.64,356.46,187.99,189.55
89,173.82,173.59,354.99,355.79,186.61,189.69
90,173.23,174.16,355.79,356.11,183.11,188.09
91,173.14,174.75,356.14,356.47,181.73,187.12
92,174.62,175.48,356.46,356.47,181.38,186.5
93,176.72,176.23,357.1,356.47,181.38,186.45
94,176.72,176.23,357.46,356.46,180.52,186.42
95,176.82,177.81,357.17,356.82,180.16,185.45
96,176.78,177.12,357.14,356.49,180.16,184.49
97,176.78,177.12,357.49,356.51,179.81,184.45
98,176.82,177.95,357.52,356.51,179.81,184.45
99,176.94,177.98,357.25,356.54,179.45,179.06
